timestamp,Rat_public_Angle,Rat_public_Dalia,Rat_public_Lloyd,Cockatoo_public_Chiquita
2016-01-02 21:00:00,297.95,130.07,50.46,54.675
2016-01-02 22:00:00,273.98,131.11,50.56,55.35
2016-01-02 23:00:00,262.24,133.97,50.56,57.25
2016-01-03 00:00:00,265.37,131.61,50.4,57.825
2016-01-03 01:00:00,264.71,130.1,50.72,62.925
2016-01-03 02:00:00,266.48,129.38,50.75,65.3
2016-01-03 03:00:00,266.34,129.68,50.65,61.7
2016-01-03 04:00:00,267.31,130.26,51.14,66.65
2016-01-03 05:00:00,265.52,125.24,50.89,58.55
2016-01-03 06:00:00,264.61,128.55,50.75,59.05
2016-01-03 07:00:00,263.95,130.23,50.82,52.325
2016-01-03 08:00:00,260.04,126.91,50.07,57.775
2016-01-03 09:00:00,248.53,125.44,49.99,56.35
2016-01-03 10:00:00,212.33,123.62,50.19,56.4
2016-01-03 11:00:00,211.76,126.8,49.97,54.275
2016-01-03 12:00:00,205.05,123.02,49.82,62.4
2016-01-03 13:00:00,202.32,122.17,49.8,56.25
2016-01-03 14:00:00,204.99,123.07,49.76,56.85
2016-01-03 15:00:00,207.3,123.62,49.72,58.225
2016-01-03 16:00:00,207.07,123.12,49.81,59.725
2016-01-03 17:00:00,230.18,123.64,49.88,60.125
2016-01-03 18:00:00,249.67,125.65,49.96,60.925
2016-01-03 19:00:00,257.19,132.24,50.31,60.875
2016-01-03 20:00:00,259.03,130.87,52.61,60.525
2016-01-03 21:00:00,259.39,133.35,51.86,57.225
2016-01-03 22:00:00,234.08,128.04,50.91,57.75
2016-01-03 23:00:00,218.17,132.36,51.07,61.85
2016-01-04 00:00:00,215.74,127.35,50.97,61.375
2016-01-04 01:00:00,217.77,124.74,51.1,60.2
2016-01-04 02:00:00,220.34,124.73,51.24,62.575
2016-01-04 03:00:00,219.97,125.08,50.81,62.55
2016-01-04 04:00:00,221.28,123.75,50.83,69.225
2016-01-04 05:00:00,221.78,123.61,50.83,73.225
2016-01-04 06:00:00,230.22,125.2,51.15,86.025
2016-01-04 07:00:00,246.53,132.31,51.2,91.975
2016-01-04 08:00:00,266.34,139.64,50.47,100.95
2016-01-04 09:00:00,308.41,138.98,54.06,106.25
2016-01-04 10:00:00,320.43,138.05,63.1,116.225
2016-01-04 11:00:00,330.55,145.09,62.61,121.425
2016-01-04 12:00:00,312.6,146.66,62.24,126.625
2016-01-04 13:00:00,309.15,143.96,62.54,119.425
2016-01-04 14:00:00,319.78,142.61,63.31,133.15
2016-01-04 15:00:00,311.44,138.77,66.57,124.025
2016-01-04 16:00:00,302.73,134.42,66.57,121.725
2016-01-04 17:00:00,316.16,132.6,66.44,105.3
2016-01-04 18:00:00,329.36,134.25,66.83,78.35
2016-01-04 19:00:00,326.61,130.94,66.66,78.525
2016-01-04 20:00:00,321.74,128.28,64.24,79.475
2016-01-04 21:00:00,316.33,129.41,59.06,72.6
2016-01-04 22:00:00,286.69,131.44,49.83,67.025
2016-01-04 23:00:00,274.75,132.61,49.16,72.5
2016-01-05 00:00:00,274.81,126.57,51.45,70.725
2016-01-05 01:00:00,272.59,127.23,70.74,73.675
2016-01-05 02:00:00,274.33,128.06,53.14,68.15
2016-01-05 03:00:00,273.66,126.52,50.91,81.125
2016-01-05 04:00:00,274.2,123.18,49.59,88.35
2016-01-05 05:00:00,276.7,124.23,48.69,83.5
2016-01-05 06:00:00,280.39,132.18,58.72,85.525
2016-01-05 07:00:00,298.88,139.31,61.56,89.25
2016-01-05 08:00:00,303.76,150.16,60.45,104.725
2016-01-05 09:00:00,317.47,158.25,59.93,125.2
2016-01-05 10:00:00,340.68,156.73,61.18,123.675
2016-01-05 11:00:00,324.55,155.01,61.88,121.1
2016-01-05 12:00:00,332.61,153.89,56.47,133.2
2016-01-05 13:00:00,322.42,153.85,53.16,133.625
2016-01-05 14:00:00,327.41,151.81,59.79,132.475
2016-01-05 15:00:00,308.29,145.38,57.91,145.725
2016-01-05 16:00:00,272.74,140.46,59.57,136.6
2016-01-05 17:00:00,282.48,134.88,59.43,119.475
2016-01-05 18:00:00,290.77,138.7,57.77,104.225
2016-01-05 19:00:00,287.16,136.39,56.47,94.575
2016-01-05 20:00:00,283.34,136.54,52.31,92.0
2016-01-05 21:00:00,277.8,133.7,53.34,88.15
2016-01-05 22:00:00,251.43,133.4,52.97,72.725
2016-01-05 23:00:00,236.45,135.33,52.89,70.15
2016-01-06 00:00:00,236.63,133.26,58.02,78.625
2016-01-06 01:00:00,234.7,132.87,56.96,74.625
2016-01-06 02:00:00,235.81,131.16,55.49,72.25
2016-01-06 03:00:00,235.39,139.01,56.86,78.575
2016-01-06 04:00:00,235.3,138.08,55.27,91.325
2016-01-06 05:00:00,236.15,139.26,55.32,88.175
2016-01-06 06:00:00,235.85,141.31,55.83,92.425
2016-01-06 07:00:00,251.31,143.89,55.38,94.275
2016-01-06 08:00:00,259.42,147.84,54.78,111.375
2016-01-06 09:00:00,274.78,149.24,63.21,118.975
2016-01-06 10:00:00,280.72,152.46,68.44,124.5
2016-01-06 11:00:00,287.47,151.39,68.87,128.075
2016-01-06 12:00:00,282.03,147.29,68.69,125.85
2016-01-06 13:00:00,275.62,151.56,68.73,122.75
2016-01-06 14:00:00,279.8,151.58,68.15,131.5
2016-01-06 15:00:00,279.86,153.41,67.63,129.7
2016-01-06 16:00:00,274.45,142.84,68.58,128.8
2016-01-06 17:00:00,284.97,142.17,71.74,123.3
2016-01-06 18:00:00,296.89,142.72,71.58,104.825
2016-01-06 19:00:00,288.41,139.3,73.13,93.525
2016-01-06 20:00:00,281.23,136.29,71.72,94.7
2016-01-06 21:00:00,276.9,134.67,66.95,79.15
2016-01-06 22:00:00,248.44,136.78,59.14,70.75
2016-01-06 23:00:00,235.97,137.88,58.15,75.35
2016-01-07 00:00:00,235.45,133.97,57.89,76.825
2016-01-07 01:00:00,236.47,130.27,58.67,69.875
2016-01-07 02:00:00,236.66,131.22,61.13,69.95
2016-01-07 03:00:00,236.88,130.23,57.95,78.3
2016-01-07 04:00:00,233.3,130.75,57.61,83.525
2016-01-07 05:00:00,231.76,129.63,57.52,93.05
2016-01-07 06:00:00,234.44,136.24,57.5,91.35
2016-01-07 07:00:00,252.01,140.37,57.51,87.95
2016-01-07 08:00:00,254.19,143.31,56.88,113.85
2016-01-07 09:00:00,278.09,146.51,58.26,117.275
2016-01-07 10:00:00,292.72,152.56,64.98,126.575
2016-01-07 11:00:00,290.82,147.81,69.71,129.25
2016-01-07 12:00:00,294.27,143.89,69.01,129.8
2016-01-07 13:00:00,289.38,141.89,69.67,128.425
2016-01-07 14:00:00,290.37,150.25,68.65,126.225
2016-01-07 15:00:00,285.03,148.98,69.75,127.25
2016-01-07 16:00:00,272.0,143.52,69.6,131.925
2016-01-07 17:00:00,282.21,140.24,71.25,109.625
2016-01-07 18:00:00,282.31,143.34,72.12,105.05
2016-01-07 19:00:00,274.27,141.28,71.67,94.975
2016-01-07 20:00:00,271.76,135.08,71.83,96.775
2016-01-07 21:00:00,271.61,136.59,64.87,82.35
2016-01-07 22:00:00,243.95,138.71,58.1,72.025
2016-01-07 23:00:00,231.74,138.92,58.83,71.725
2016-01-08 00:00:00,230.8,133.92,64.53,73.175
2016-01-08 01:00:00,230.57,133.7,58.79,75.0
2016-01-08 02:00:00,232.02,130.72,58.68,75.925
2016-01-08 03:00:00,231.17,130.36,59.01,69.025
2016-01-08 04:00:00,230.72,132.47,58.85,89.375
2016-01-08 05:00:00,229.82,131.7,58.59,92.85
2016-01-08 06:00:00,235.13,135.31,58.68,91.475
2016-01-08 07:00:00,246.38,141.08,58.6,95.825
2016-01-08 08:00:00,260.59,142.13,58.52,104.375
2016-01-08 09:00:00,282.97,140.33,60.1,110.175
2016-01-08 10:00:00,302.68,146.66,66.22,119.125
2016-01-08 11:00:00,290.3,148.69,68.65,135.825
2016-01-08 12:00:00,271.41,151.58,68.52,132.5
2016-01-08 13:00:00,261.5,147.33,69.93,128.7
2016-01-08 14:00:00,254.28,146.48,70.7,129.275
2016-01-08 15:00:00,245.1,142.62,71.4,130.225
2016-01-08 16:00:00,233.9,138.81,73.97,138.75
2016-01-08 17:00:00,248.36,139.11,72.91,123.525
2016-01-08 18:00:00,257.52,139.04,71.83,91.25
2016-01-08 19:00:00,252.16,135.47,70.83,72.975
2016-01-08 20:00:00,247.99,133.91,70.48,79.0
2016-01-08 21:00:00,247.84,131.81,66.2,74.25
2016-01-08 22:00:00,217.54,130.15,58.9,72.625
2016-01-08 23:00:00,201.85,132.95,58.38,68.675
2016-01-09 00:00:00,202.22,131.43,58.39,72.475
2016-01-09 01:00:00,201.4,128.4,58.58,72.375
2016-01-09 02:00:00,201.22,127.96,58.51,68.3
2016-01-09 03:00:00,200.65,130.96,58.36,72.35
2016-01-09 04:00:00,199.95,130.64,58.75,73.825
2016-01-09 05:00:00,199.11,131.45,58.5,70.15
2016-01-09 06:00:00,198.96,127.14,58.65,67.55
2016-01-09 07:00:00,198.66,129.5,58.26,68.8
2016-01-09 08:00:00,197.03,123.09,57.83,69.3
2016-01-09 09:00:00,194.6,126.88,57.63,70.975
2016-01-09 10:00:00,193.53,125.5,59.43,83.55
2016-01-09 11:00:00,193.12,126.98,64.84,80.775
2016-01-09 12:00:00,196.29,126.86,66.79,89.075
2016-01-09 13:00:00,206.86,125.5,70.99,87.1
2016-01-09 14:00:00,214.9,125.44,73.83,83.45
2016-01-09 15:00:00,212.01,125.97,71.85,79.975
2016-01-09 16:00:00,210.96,124.23,70.92,83.35
2016-01-09 17:00:00,235.0,122.9,58.86,83.0
2016-01-09 18:00:00,254.67,130.05,57.95,80.3
2016-01-09 19:00:00,252.33,130.88,57.9,72.825
2016-01-09 20:00:00,245.11,129.46,58.4,70.225
2016-01-09 21:00:00,246.18,127.35,58.35,68.075
2016-01-09 22:00:00,236.46,125.82,58.2,64.4
2016-01-09 23:00:00,224.49,131.02,58.12,68.875
2016-01-10 00:00:00,225.28,127.39,58.6,64.275
2016-01-10 01:00:00,214.14,129.2,58.67,63.7
2016-01-10 02:00:00,201.08,124.69,58.65,64.625
2016-01-10 03:00:00,201.07,126.9,58.49,65.15
2016-01-10 04:00:00,200.36,127.04,63.89,61.575
2016-01-10 05:00:00,200.01,124.43,61.31,66.175
2016-01-10 06:00:00,200.22,123.79,60.71,63.5
2016-01-10 07:00:00,200.26,130.33,64.19,65.075
2016-01-10 08:00:00,198.17,127.07,63.3,64.55
2016-01-10 09:00:00,193.75,125.72,63.98,68.45
2016-01-10 10:00:00,189.23,121.16,74.42,71.025
2016-01-10 11:00:00,189.4,120.97,59.57,72.925
2016-01-10 12:00:00,189.05,124.4,73.19,85.925
2016-01-10 13:00:00,191.63,122.54,69.06,85.425
2016-01-10 14:00:00,190.38,119.56,63.68,85.575
2016-01-10 15:00:00,191.11,124.84,69.21,86.1
2016-01-10 16:00:00,189.67,125.31,69.7,89.05
2016-01-10 17:00:00,214.65,127.37,59.27,84.85
2016-01-10 18:00:00,232.7,132.69,58.03,78.475
2016-01-10 19:00:00,234.82,131.09,57.68,68.0
2016-01-10 20:00:00,234.11,128.44,58.27,65.95
2016-01-10 21:00:00,234.66,129.31,58.66,66.425
2016-01-10 22:00:00,214.15,133.26,59.18,72.975
2016-01-10 23:00:00,198.31,134.41,59.03,79.125
2016-01-11 00:00:00,198.9,131.12,65.22,69.475
2016-01-11 01:00:00,200.63,128.65,61.02,67.675
2016-01-11 02:00:00,203.99,125.08,60.84,64.9
2016-01-11 03:00:00,204.83,123.4,60.74,64.5
2016-01-11 04:00:00,202.43,123.69,61.86,79.75
2016-01-11 05:00:00,211.39,126.47,61.08,85.05
2016-01-11 06:00:00,223.18,131.05,61.27,85.175
2016-01-11 07:00:00,243.92,133.94,60.27,88.75
2016-01-11 08:00:00,260.3,141.91,59.39,104.375
2016-01-11 09:00:00,272.74,140.38,62.56,109.05
2016-01-11 10:00:00,277.6,144.87,66.59,123.95
2016-01-11 11:00:00,281.99,141.38,70.32,138.925
2016-01-11 12:00:00,278.23,141.02,68.97,130.325
2016-01-11 13:00:00,279.69,142.55,69.03,136.6
2016-01-11 14:00:00,274.34,146.65,71.34,135.225
2016-01-11 15:00:00,272.29,145.61,70.86,149.675
2016-01-11 16:00:00,261.31,138.27,73.83,139.7
2016-01-11 17:00:00,280.22,137.53,74.59,104.925
2016-01-11 18:00:00,280.87,141.4,73.65,98.15
2016-01-11 19:00:00,261.18,134.14,74.32,82.7
2016-01-11 20:00:00,254.6,137.32,73.96,84.675
2016-01-11 21:00:00,250.48,129.73,67.1,77.0
2016-01-11 22:00:00,220.04,129.55,59.88,71.75
2016-01-11 23:00:00,205.27,127.78,59.74,71.85
2016-01-12 00:00:00,204.44,127.85,59.66,70.3
2016-01-12 01:00:00,204.29,127.09,59.8,65.15
2016-01-12 02:00:00,203.59,129.45,62.53,64.85
2016-01-12 03:00:00,205.27,127.77,64.77,66.4
2016-01-12 04:00:00,204.53,129.68,59.46,64.425
2016-01-12 05:00:00,202.99,128.91,59.41,79.975
2016-01-12 06:00:00,210.6,131.24,59.41,84.825
2016-01-12 07:00:00,236.27,137.41,59.0,86.2
2016-01-12 08:00:00,247.03,139.07,61.05,107.7
2016-01-12 09:00:00,267.76,144.85,66.85,114.35
2016-01-12 10:00:00,277.63,151.95,67.62,122.95
2016-01-12 11:00:00,286.71,158.11,73.8,131.475
2016-01-12 12:00:00,284.02,159.03,73.07,129.3
2016-01-12 13:00:00,274.74,158.87,73.12,140.65
2016-01-12 14:00:00,275.88,158.88,72.53,138.75
2016-01-12 15:00:00,278.46,148.57,73.16,140.55
2016-01-12 16:00:00,266.83,140.96,75.0,137.775
2016-01-12 17:00:00,270.81,138.58,73.03,114.025
2016-01-12 18:00:00,266.15,139.32,75.35,105.625
2016-01-12 19:00:00,261.89,136.68,71.1,97.75
2016-01-12 20:00:00,250.6,137.37,69.76,87.35
2016-01-12 21:00:00,249.12,133.85,65.15,79.65
2016-01-12 22:00:00,226.45,135.4,59.72,71.325
2016-01-12 23:00:00,213.64,131.94,59.59,71.875
2016-01-13 00:00:00,212.85,131.11,59.63,65.175
2016-01-13 01:00:00,213.1,129.23,59.51,68.35
2016-01-13 02:00:00,213.03,127.64,58.63,64.55
2016-01-13 03:00:00,212.92,130.84,56.8,65.475
2016-01-13 04:00:00,212.02,131.69,56.71,77.5
2016-01-13 05:00:00,211.5,132.03,57.09,90.025
2016-01-13 06:00:00,220.17,137.39,57.19,87.575
2016-01-13 07:00:00,248.2,146.48,57.25,88.25
2016-01-13 08:00:00,268.53,147.33,58.74,101.525
2016-01-13 09:00:00,282.84,149.36,63.64,108.375
2016-01-13 10:00:00,291.63,155.04,72.04,115.575
2016-01-13 11:00:00,282.98,156.03,73.43,127.725
2016-01-13 12:00:00,277.37,156.69,73.03,126.125
2016-01-13 13:00:00,270.23,154.94,71.88,133.275
2016-01-13 14:00:00,264.65,154.88,72.59,123.025
2016-01-13 15:00:00,258.79,153.02,72.64,125.5
2016-01-13 16:00:00,229.95,146.47,71.96,130.65
2016-01-13 17:00:00,242.97,140.01,74.17,103.0
2016-01-13 18:00:00,255.06,141.26,73.94,81.375
2016-01-13 19:00:00,252.11,139.01,74.29,77.4
2016-01-13 20:00:00,246.38,133.5,75.79,80.975
2016-01-13 21:00:00,246.48,134.73,70.68,74.35
2016-01-13 22:00:00,221.42,136.81,60.87,58.575
2016-01-13 23:00:00,204.87,135.3,59.77,65.75
2016-01-14 00:00:00,204.71,135.19,59.95,62.0
2016-01-14 01:00:00,203.28,133.83,59.68,65.45
2016-01-14 02:00:00,200.78,131.05,60.08,63.9
2016-01-14 03:00:00,197.26,131.17,60.53,63.275
2016-01-14 04:00:00,194.77,133.62,58.65,71.3
2016-01-14 05:00:00,196.75,131.23,57.38,83.075
2016-01-14 06:00:00,208.1,137.02,56.39,77.675
2016-01-14 07:00:00,237.74,140.07,54.67,90.975
2016-01-14 08:00:00,247.68,142.94,53.85,97.45
2016-01-14 09:00:00,257.08,144.6,58.23,111.375
2016-01-14 10:00:00,272.89,151.66,66.35,114.075
2016-01-14 11:00:00,271.94,152.31,64.74,124.1
2016-01-14 12:00:00,267.8,158.24,63.34,118.125
2016-01-14 13:00:00,263.27,157.94,64.37,118.65
2016-01-14 14:00:00,266.26,158.84,63.59,119.65
2016-01-14 15:00:00,253.51,154.18,64.56,114.925
2016-01-14 16:00:00,242.26,151.05,64.87,116.525
2016-01-14 17:00:00,251.82,146.44,70.33,110.3
2016-01-14 18:00:00,262.45,147.24,75.95,91.725
2016-01-14 19:00:00,253.34,143.98,74.84,79.5
2016-01-14 20:00:00,251.05,142.39,75.34,78.15
2016-01-14 21:00:00,248.5,140.01,67.39,73.725
2016-01-14 22:00:00,217.44,137.58,62.56,63.725
2016-01-14 23:00:00,202.08,139.91,62.61,61.6
2016-01-15 00:00:00,199.16,133.78,62.44,59.575
2016-01-15 01:00:00,199.94,132.53,62.68,60.75
2016-01-15 02:00:00,199.15,134.31,62.68,62.025
2016-01-15 03:00:00,200.44,133.49,62.49,62.625
2016-01-15 04:00:00,199.81,136.55,63.09,72.025
2016-01-15 05:00:00,200.42,135.66,62.54,75.2
2016-01-15 06:00:00,216.78,137.66,62.61,79.075
2016-01-15 07:00:00,237.1,142.79,62.45,80.125
2016-01-15 08:00:00,251.69,142.4,61.85,96.175
2016-01-15 09:00:00,266.84,145.56,67.92,100.375
2016-01-15 10:00:00,273.66,152.57,75.17,119.7
2016-01-15 11:00:00,277.42,149.22,77.68,117.35
2016-01-15 12:00:00,266.67,149.18,75.08,116.3
2016-01-15 13:00:00,251.64,150.45,76.28,127.925
2016-01-15 14:00:00,244.29,147.96,79.43,124.825
2016-01-15 15:00:00,236.46,143.99,76.16,124.675
2016-01-15 16:00:00,224.18,142.14,71.72,128.75
2016-01-15 17:00:00,242.44,138.64,76.04,94.875
2016-01-15 18:00:00,253.33,139.51,68.61,76.45
2016-01-15 19:00:00,251.05,140.58,64.26,58.1
2016-01-15 20:00:00,246.38,134.14,63.63,63.575
2016-01-15 21:00:00,245.43,131.14,60.31,55.925
2016-01-15 22:00:00,218.38,132.03,58.52,64.4
2016-01-15 23:00:00,203.06,134.58,58.27,56.925
2016-01-16 00:00:00,205.16,126.54,58.4,59.85
2016-01-16 01:00:00,205.13,125.87,58.55,64.05
2016-01-16 02:00:00,207.76,124.48,58.38,56.575
2016-01-16 03:00:00,210.1,124.66,58.53,60.225
2016-01-16 04:00:00,207.36,126.04,58.11,56.625
2016-01-16 05:00:00,202.89,126.66,58.26,57.0
2016-01-16 06:00:00,200.66,128.26,58.15,62.1
2016-01-16 07:00:00,202.51,131.33,58.55,60.6
2016-01-16 08:00:00,201.23,124.94,57.51,55.675
2016-01-16 09:00:00,197.66,125.53,57.9,69.95
2016-01-16 10:00:00,196.12,125.95,61.69,78.225
2016-01-16 11:00:00,194.42,123.73,67.83,80.4
2016-01-16 12:00:00,192.27,121.17,67.17,77.625
2016-01-16 13:00:00,193.6,123.81,68.66,79.3
2016-01-16 14:00:00,190.69,127.95,68.54,80.05
2016-01-16 15:00:00,193.24,126.93,68.13,79.725
2016-01-16 16:00:00,213.18,127.16,61.25,78.825
2016-01-16 17:00:00,252.8,121.95,57.92,83.075
2016-01-16 18:00:00,271.46,131.16,57.85,67.325
2016-01-16 19:00:00,275.23,130.78,60.2,64.875
2016-01-16 20:00:00,276.83,129.3,59.04,56.925
2016-01-16 21:00:00,276.1,130.7,58.81,65.325
2016-01-16 22:00:00,252.32,132.94,58.81,60.6
2016-01-16 23:00:00,240.01,131.62,58.69,57.7
2016-01-17 00:00:00,243.6,133.85,58.95,64.05
2016-01-17 01:00:00,242.18,132.21,58.84,57.675
2016-01-17 02:00:00,244.84,130.33,58.71,63.25
2016-01-17 03:00:00,245.45,126.8,58.72,56.1
2016-01-17 04:00:00,242.1,132.01,59.07,64.375
2016-01-17 05:00:00,241.67,130.93,58.56,55.925
2016-01-17 06:00:00,240.55,129.67,58.68,59.975
2016-01-17 07:00:00,238.77,134.97,58.53,56.125
2016-01-17 08:00:00,235.04,130.12,58.33,60.65
2016-01-17 09:00:00,228.51,127.65,58.16,55.525
2016-01-17 10:00:00,230.84,125.14,58.03,62.025
2016-01-17 11:00:00,229.89,125.91,58.08,67.325
2016-01-17 12:00:00,229.34,124.57,57.97,77.925
2016-01-17 13:00:00,233.12,124.18,57.81,79.625
2016-01-17 14:00:00,231.62,126.91,58.05,79.75
2016-01-17 15:00:00,233.13,126.19,58.05,79.525
2016-01-17 16:00:00,204.7,123.18,58.29,78.7
2016-01-17 17:00:00,226.77,124.16,59.95,81.275
2016-01-17 18:00:00,240.39,127.07,57.04,67.6
2016-01-17 19:00:00,245.52,127.54,56.08,61.3
2016-01-17 20:00:00,257.25,126.85,57.26,56.625
2016-01-17 21:00:00,263.06,126.99,57.48,62.95
2016-01-17 22:00:00,231.65,127.12,57.39,64.275
2016-01-17 23:00:00,218.62,129.35,57.15,60.6
2016-01-18 00:00:00,222.1,127.09,57.58,65.125
2016-01-18 01:00:00,221.41,125.7,57.87,61.1
2016-01-18 02:00:00,221.84,122.36,57.73,57.55
2016-01-18 03:00:00,222.14,124.76,58.43,59.525
2016-01-18 04:00:00,222.53,125.42,61.72,60.725
2016-01-18 05:00:00,220.33,125.78,61.4,59.825
2016-01-18 06:00:00,219.57,126.61,62.09,65.65
2016-01-18 07:00:00,222.05,130.51,59.6,58.0
2016-01-18 08:00:00,247.03,130.58,59.5,78.4
2016-01-18 09:00:00,246.99,129.38,61.13,85.825
2016-01-18 10:00:00,243.82,128.64,58.17,78.75
2016-01-18 11:00:00,250.24,128.1,54.58,76.725
2016-01-18 12:00:00,254.14,128.96,53.97,79.8
2016-01-18 13:00:00,264.68,130.98,52.63,83.025
2016-01-18 14:00:00,269.98,130.15,53.95,77.475
2016-01-18 15:00:00,271.9,129.69,53.54,85.45
2016-01-18 16:00:00,275.29,130.5,53.36,82.725
2016-01-18 17:00:00,298.26,129.11,53.23,71.8
2016-01-18 18:00:00,314.05,133.03,53.07,61.25
2016-01-18 19:00:00,314.7,134.41,53.75,63.125
2016-01-18 20:00:00,312.71,130.76,54.24,57.55
2016-01-18 21:00:00,312.19,130.68,53.37,64.35
2016-01-18 22:00:00,287.84,130.88,53.54,60.9
2016-01-18 23:00:00,273.01,133.91,53.09,58.925
2016-01-19 00:00:00,270.27,131.44,53.2,65.075
2016-01-19 01:00:00,268.51,133.93,53.51,61.375
2016-01-19 02:00:00,268.74,133.18,53.12,63.625
2016-01-19 03:00:00,269.57,132.14,52.91,63.425
2016-01-19 04:00:00,268.39,132.38,52.51,79.05
2016-01-19 05:00:00,268.35,132.43,52.11,82.775
2016-01-19 06:00:00,267.9,139.44,51.57,86.75
2016-01-19 07:00:00,283.16,141.1,51.17,92.725
2016-01-19 08:00:00,299.34,145.66,50.39,79.425
2016-01-19 09:00:00,319.05,151.69,56.4,110.375
2016-01-19 10:00:00,328.22,157.24,61.16,123.525
2016-01-19 11:00:00,334.76,156.24,63.12,126.725
2016-01-19 12:00:00,342.47,158.72,63.31,130.325
2016-01-19 13:00:00,393.93,155.14,65.69,136.35
2016-01-19 14:00:00,394.36,157.95,64.69,134.725
2016-01-19 15:00:00,393.76,155.29,63.62,134.95
2016-01-19 16:00:00,378.47,149.69,67.65,129.125
2016-01-19 17:00:00,380.91,150.17,66.69,103.4
2016-01-19 18:00:00,396.64,149.35,65.43,96.875
2016-01-19 19:00:00,399.62,147.29,54.53,83.2
2016-01-19 20:00:00,398.62,144.91,54.58,84.25
2016-01-19 21:00:00,402.3,141.37,54.18,72.9
2016-01-19 22:00:00,372.09,142.1,54.52,61.2
2016-01-19 23:00:00,356.88,139.98,54.49,65.625
2016-01-20 00:00:00,352.65,137.17,54.4,65.025
2016-01-20 01:00:00,353.56,138.35,54.35,64.65
2016-01-20 02:00:00,351.89,139.16,54.24,62.65
2016-01-20 03:00:00,352.37,137.23,54.21,68.2
2016-01-20 04:00:00,351.19,138.37,58.52,76.1
2016-01-20 05:00:00,352.75,141.69,60.15,79.925
2016-01-20 06:00:00,352.04,145.45,54.19,83.425
2016-01-20 07:00:00,358.82,147.31,54.0,89.725
2016-01-20 08:00:00,384.33,150.72,53.08,100.625
2016-01-20 09:00:00,394.72,155.48,60.7,109.75
2016-01-20 10:00:00,403.6,159.39,64.08,132.175
2016-01-20 11:00:00,397.28,155.63,66.31,127.15
2016-01-20 12:00:00,394.68,158.7,65.4,119.525
2016-01-20 13:00:00,400.65,154.88,66.07,128.075
2016-01-20 14:00:00,395.73,159.03,67.75,138.525
2016-01-20 15:00:00,383.64,156.27,66.31,128.8
2016-01-20 16:00:00,381.68,151.12,69.27,139.125
2016-01-20 17:00:00,400.12,146.73,69.43,122.575
2016-01-20 18:00:00,400.67,147.32,67.51,91.4
2016-01-20 19:00:00,394.0,148.12,66.63,83.65
2016-01-20 20:00:00,385.45,146.19,68.62,88.525
2016-01-20 21:00:00,379.39,145.6,67.15,78.1
2016-01-20 22:00:00,351.22,147.11,62.55,61.575
