timestamp,Rat_office_Adele,Rat_office_Lora,Rat_office_Jill,Rat_office_Avis
2016-01-02 16:00:00,582.85,598.52,335.19,1326.92
2016-01-02 17:00:00,598.56,611.82,324.3,1304.26
2016-01-02 18:00:00,602.12,457.18,334.03,1291.4
2016-01-02 19:00:00,623.76,454.57,327.53,1294.65
2016-01-02 20:00:00,618.94,443.86,325.11,1303.51
2016-01-02 21:00:00,635.47,447.59,327.1,1301.62
2016-01-02 22:00:00,652.37,448.12,322.03,1312.97
2016-01-02 23:00:00,661.2,418.47,324.31,1323.83
2016-01-03 00:00:00,672.09,401.01,323.3,1314.67
2016-01-03 01:00:00,660.93,395.64,326.74,1332.19
2016-01-03 02:00:00,666.81,398.69,329.04,1309.09
2016-01-03 03:00:00,675.32,401.38,327.61,1325.46
2016-01-03 04:00:00,679.99,408.28,330.55,1315.42
2016-01-03 05:00:00,663.42,435.79,328.03,1314.58
2016-01-03 06:00:00,699.55,440.03,328.08,1312.47
2016-01-03 07:00:00,724.4,442.98,330.11,1292.41
2016-01-03 08:00:00,729.43,580.24,321.35,1305.01
2016-01-03 09:00:00,692.11,579.63,315.93,1289.43
2016-01-03 10:00:00,655.79,525.48,319.03,1309.97
2016-01-03 11:00:00,656.31,490.73,317.58,1306.3
2016-01-03 12:00:00,652.42,492.12,322.3,1295.75
2016-01-03 13:00:00,648.67,496.24,321.36,1313.21
2016-01-03 14:00:00,623.78,516.58,318.08,1308.47
2016-01-03 15:00:00,596.73,521.27,317.79,1306.92
2016-01-03 16:00:00,598.05,569.94,318.78,1320.33
2016-01-03 17:00:00,589.28,589.96,316.83,1301.85
2016-01-03 18:00:00,619.32,455.31,321.17,1291.86
2016-01-03 19:00:00,608.6,437.04,333.79,1289.75
2016-01-03 20:00:00,634.78,437.83,328.67,1304.64
2016-01-03 21:00:00,658.1,433.32,329.71,1286.74
2016-01-03 22:00:00,670.58,436.95,330.37,1310.72
2016-01-03 23:00:00,667.35,423.2,324.86,1319.18
2016-01-04 00:00:00,667.56,415.18,328.04,1318.7
2016-01-04 01:00:00,670.91,385.03,327.47,1319.12
2016-01-04 02:00:00,689.27,408.21,327.66,1310.21
2016-01-04 03:00:00,678.16,412.1,328.19,1308.1
2016-01-04 04:00:00,678.45,505.03,407.13,1312.25
2016-01-04 05:00:00,668.78,565.56,492.87,1293.97
2016-01-04 06:00:00,721.53,619.28,517.17,1310.12
2016-01-04 07:00:00,1004.04,629.19,1371.37,1324.94
2016-01-04 08:00:00,1094.68,682.15,1559.42,1374.52
2016-01-04 09:00:00,1107.71,701.28,1585.69,1428.89
2016-01-04 10:00:00,1067.62,660.77,1572.02,1487.44
2016-01-04 11:00:00,1060.68,679.54,1568.67,1513.0
2016-01-04 12:00:00,1041.45,648.66,1508.54,1518.77
2016-01-04 13:00:00,1024.72,649.22,1494.93,1512.86
2016-01-04 14:00:00,996.43,647.76,1538.38,1502.14
2016-01-04 15:00:00,979.59,676.06,1504.15,1505.71
2016-01-04 16:00:00,955.67,699.24,1569.98,1507.18
2016-01-04 17:00:00,947.88,690.72,1529.96,1482.26
2016-01-04 18:00:00,941.05,699.9,1625.83,1430.92
2016-01-04 19:00:00,750.09,692.41,1039.96,1408.48
2016-01-04 20:00:00,761.21,523.1,526.08,1391.35
2016-01-04 21:00:00,709.86,521.97,463.1,1383.14
2016-01-04 22:00:00,717.5,519.14,433.5,1373.75
2016-01-04 23:00:00,718.49,503.1,384.6,1341.61
2016-01-05 00:00:00,727.05,490.61,355.8,1326.64
2016-01-05 01:00:00,732.69,478.84,499.86,1318.6
2016-01-05 02:00:00,733.13,502.93,358.91,1310.6
2016-01-05 03:00:00,771.47,521.84,361.84,1303.72
2016-01-05 04:00:00,734.19,535.57,364.08,1286.38
2016-01-05 05:00:00,770.67,753.16,378.94,1284.39
2016-01-05 06:00:00,796.08,765.53,670.78,1859.49
2016-01-05 07:00:00,1129.09,803.06,1882.47,1986.71
2016-01-05 08:00:00,1211.61,856.88,2016.3,2066.19
2016-01-05 09:00:00,1153.33,863.89,1985.56,2152.48
2016-01-05 10:00:00,1132.94,806.57,1874.52,2217.91
2016-01-05 11:00:00,1105.65,757.52,1776.21,2227.25
2016-01-05 12:00:00,1104.37,743.62,1694.83,2225.6
2016-01-05 13:00:00,1097.59,749.63,1724.0,2228.42
2016-01-05 14:00:00,1071.6,742.49,1706.07,2239.96
2016-01-05 15:00:00,1011.51,750.91,1639.48,2209.77
2016-01-05 16:00:00,961.08,790.52,1578.06,1268.6
2016-01-05 17:00:00,950.66,791.87,1683.9,1472.53
2016-01-05 18:00:00,952.81,779.77,1746.89,1466.33
2016-01-05 19:00:00,779.47,761.18,1096.53,1414.93
2016-01-05 20:00:00,762.71,569.47,515.52,1391.38
2016-01-05 21:00:00,722.15,559.31,446.11,1365.83
2016-01-05 22:00:00,725.0,558.04,440.37,1350.8
2016-01-05 23:00:00,691.39,532.67,391.93,1347.94
2016-01-06 00:00:00,727.85,519.79,353.12,1327.89
2016-01-06 01:00:00,693.45,464.77,442.75,1321.28
2016-01-06 02:00:00,735.9,515.48,353.41,1313.82
2016-01-06 03:00:00,710.52,517.52,352.89,1330.83
2016-01-06 04:00:00,742.24,529.45,354.68,1318.36
2016-01-06 05:00:00,694.44,763.57,365.85,1323.01
2016-01-06 06:00:00,791.23,761.34,620.39,1853.99
2016-01-06 07:00:00,1071.33,761.6,1795.0,1994.04
2016-01-06 08:00:00,1171.93,822.81,1890.81,2118.37
2016-01-06 09:00:00,1144.7,861.7,1843.17,2159.57
2016-01-06 10:00:00,1110.06,812.4,1777.96,2239.04
2016-01-06 11:00:00,1059.42,750.29,1690.5,2246.52
2016-01-06 12:00:00,1045.26,737.49,1694.34,1582.66
2016-01-06 13:00:00,1041.18,747.86,1712.53,1512.84
2016-01-06 14:00:00,1027.05,753.39,1679.15,1513.7
2016-01-06 15:00:00,958.93,766.48,1570.45,1518.11
2016-01-06 16:00:00,923.72,785.8,1498.77,2150.16
2016-01-06 17:00:00,922.88,795.47,1560.63,2200.76
2016-01-06 18:00:00,908.28,781.19,1577.69,2137.51
2016-01-06 19:00:00,746.22,765.67,1018.26,2109.44
2016-01-06 20:00:00,743.46,588.8,511.99,2116.09
2016-01-06 21:00:00,709.44,543.07,465.24,2078.36
2016-01-06 22:00:00,669.57,542.07,468.48,2058.51
2016-01-06 23:00:00,674.45,521.71,398.27,2069.86
2016-01-07 00:00:00,678.37,520.55,375.08,2044.63
2016-01-07 01:00:00,674.08,449.2,500.82,2017.18
2016-01-07 02:00:00,688.79,488.97,374.3,2011.44
2016-01-07 03:00:00,685.39,500.42,374.2,2020.31
2016-01-07 04:00:00,674.12,505.32,363.39,2014.76
2016-01-07 05:00:00,659.15,720.85,376.58,2008.52
2016-01-07 06:00:00,710.27,714.49,538.52,1992.36
2016-01-07 07:00:00,989.63,762.43,1593.52,2024.92
2016-01-07 08:00:00,1055.09,805.06,1676.96,2090.05
2016-01-07 09:00:00,1082.31,834.89,1681.19,2129.54
2016-01-07 10:00:00,1105.74,819.01,1689.34,2077.97
2016-01-07 11:00:00,1071.02,790.56,1652.51,1555.86
2016-01-07 12:00:00,1047.93,774.42,1621.59,1324.36
2016-01-07 13:00:00,1027.8,770.78,1636.05,849.96
2016-01-07 14:00:00,980.79,760.99,1619.11,845.08
2016-01-07 15:00:00,1023.72,749.13,1613.75,847.88
2016-01-07 16:00:00,986.38,743.74,1630.49,853.3
2016-01-07 17:00:00,962.88,735.83,1630.09,839.33
2016-01-07 18:00:00,954.07,730.45,1576.13,1777.75
2016-01-07 19:00:00,769.24,707.72,1007.06,2137.28
2016-01-07 20:00:00,701.99,536.69,517.48,2102.3
2016-01-07 21:00:00,713.92,520.93,474.61,2061.53
2016-01-07 22:00:00,643.29,514.63,467.61,2038.21
2016-01-07 23:00:00,680.22,485.98,406.37,1990.11
2016-01-08 00:00:00,638.69,473.14,389.72,2002.48
2016-01-08 01:00:00,683.04,479.48,455.08,2025.01
2016-01-08 02:00:00,642.99,474.24,374.97,2031.96
2016-01-08 03:00:00,667.99,472.41,371.18,2026.38
2016-01-08 04:00:00,647.52,476.57,371.34,2024.22
2016-01-08 05:00:00,667.4,652.67,382.88,2000.03
2016-01-08 06:00:00,681.96,664.77,497.69,1268.49
2016-01-08 07:00:00,925.72,699.73,1355.99,683.11
2016-01-08 08:00:00,1040.51,766.11,1610.77,726.3
2016-01-08 09:00:00,1071.85,764.37,1664.56,1129.09
2016-01-08 10:00:00,1069.52,779.63,1640.56,1077.31
2016-01-08 11:00:00,1053.27,769.52,1623.02,1154.84
2016-01-08 12:00:00,1022.72,749.48,1607.65,1178.37
2016-01-08 13:00:00,996.44,737.79,1608.54,1151.72
2016-01-08 14:00:00,995.83,737.07,1599.81,1193.93
2016-01-08 15:00:00,992.85,721.79,1621.66,1139.83
2016-01-08 16:00:00,978.51,726.44,1626.8,1160.9
2016-01-08 17:00:00,943.84,710.09,1588.48,1191.17
2016-01-08 18:00:00,920.05,699.09,1523.16,1430.09
2016-01-08 19:00:00,711.64,674.82,950.41,1384.68
2016-01-08 20:00:00,719.69,528.61,485.49,1352.81
2016-01-08 21:00:00,641.96,499.59,462.83,1344.53
2016-01-08 22:00:00,691.28,501.19,426.83,1339.71
2016-01-08 23:00:00,633.66,473.74,386.35,1326.49
2016-01-09 00:00:00,664.04,469.09,361.2,1329.96
2016-01-09 01:00:00,643.81,461.95,414.35,1323.2
2016-01-09 02:00:00,671.95,464.08,356.36,1323.48
2016-01-09 03:00:00,648.22,466.12,354.6,1324.78
2016-01-09 04:00:00,656.99,446.23,367.92,1325.35
2016-01-09 05:00:00,644.66,485.33,356.2,1326.28
2016-01-09 06:00:00,664.75,498.29,381.91,1310.3
2016-01-09 07:00:00,702.52,506.01,393.94,1303.65
2016-01-09 08:00:00,696.68,681.07,370.3,1306.67
2016-01-09 09:00:00,710.65,653.88,373.27,1308.51
2016-01-09 10:00:00,684.35,649.05,381.73,1312.23
2016-01-09 11:00:00,696.22,643.25,399.63,1319.39
2016-01-09 12:00:00,671.15,662.8,398.66,1315.51
2016-01-09 13:00:00,707.85,671.42,396.67,1328.07
2016-01-09 14:00:00,706.88,665.36,393.93,1324.62
2016-01-09 15:00:00,719.63,654.6,395.97,1331.87
2016-01-09 16:00:00,700.66,653.73,394.48,1324.43
2016-01-09 17:00:00,716.99,657.57,383.82,1304.91
2016-01-09 18:00:00,717.82,506.41,394.16,1309.83
2016-01-09 19:00:00,716.62,492.94,390.22,1327.13
2016-01-09 20:00:00,694.08,498.65,375.95,1324.64
2016-01-09 21:00:00,698.3,494.87,372.99,1313.32
2016-01-09 22:00:00,717.54,490.28,363.1,1314.51
2016-01-09 23:00:00,725.54,474.75,360.18,1311.59
2016-01-10 00:00:00,712.23,449.35,357.77,1327.08
2016-01-10 01:00:00,611.6,419.86,352.01,1326.2
2016-01-10 02:00:00,612.56,442.74,355.44,1331.59
2016-01-10 03:00:00,633.4,444.21,352.06,1339.23
2016-01-10 04:00:00,626.84,447.93,360.19,1328.91
2016-01-10 05:00:00,604.69,470.12,347.99,1328.47
2016-01-10 06:00:00,633.62,464.68,347.45,1334.88
2016-01-10 07:00:00,656.08,464.38,353.89,1317.62
2016-01-10 08:00:00,648.84,618.34,349.56,1311.59
2016-01-10 09:00:00,642.31,677.26,350.0,1315.8
2016-01-10 10:00:00,640.73,672.83,356.12,1300.17
2016-01-10 11:00:00,605.81,652.01,370.36,1316.16
2016-01-10 12:00:00,591.39,639.83,360.51,1320.43
2016-01-10 13:00:00,577.66,632.61,352.77,1305.49
2016-01-10 14:00:00,565.73,630.1,355.27,1323.4
2016-01-10 15:00:00,576.71,635.43,356.24,1312.48
2016-01-10 16:00:00,564.11,649.04,349.07,1325.11
2016-01-10 17:00:00,585.05,646.52,341.82,1321.07
2016-01-10 18:00:00,623.56,479.97,352.88,1312.72
2016-01-10 19:00:00,622.12,460.58,350.7,1317.96
2016-01-10 20:00:00,628.44,472.15,352.69,1308.85
2016-01-10 21:00:00,640.84,485.67,348.33,1323.46
2016-01-10 22:00:00,640.36,499.11,351.88,1310.53
2016-01-10 23:00:00,658.61,481.8,358.52,1332.82
2016-01-11 00:00:00,652.75,472.67,358.37,1342.72
2016-01-11 01:00:00,672.25,470.93,360.35,1325.95
2016-01-11 02:00:00,675.7,494.11,362.27,1338.01
2016-01-11 03:00:00,686.92,512.84,361.24,1318.6
2016-01-11 04:00:00,677.44,651.28,451.83,1323.66
2016-01-11 05:00:00,680.78,717.27,531.12,1332.98
2016-01-11 06:00:00,751.0,735.12,552.41,1367.63
2016-01-11 07:00:00,1028.54,737.71,1502.14,1408.35
2016-01-11 08:00:00,1140.15,793.86,1711.12,1466.52
2016-01-11 09:00:00,1093.74,821.69,1722.51,1508.05
2016-01-11 10:00:00,1057.86,746.27,1629.85,1557.71
2016-01-11 11:00:00,1037.77,670.15,1561.83,1586.05
2016-01-11 12:00:00,1008.17,662.04,1616.21,1590.85
2016-01-11 13:00:00,1005.86,679.3,1644.65,1582.99
2016-01-11 14:00:00,998.95,686.1,1648.2,1610.06
2016-01-11 15:00:00,934.5,696.1,1577.18,1595.34
2016-01-11 16:00:00,908.46,717.51,1499.0,1576.48
2016-01-11 17:00:00,879.34,718.23,1487.58,1553.56
2016-01-11 18:00:00,883.56,693.7,1547.96,1520.69
2016-01-11 19:00:00,730.22,671.58,1108.87,1485.17
2016-01-11 20:00:00,755.83,555.04,660.27,1475.86
2016-01-11 21:00:00,674.07,533.96,647.17,1473.45
2016-01-11 22:00:00,692.25,550.06,609.52,1433.41
2016-01-11 23:00:00,668.8,516.94,404.03,1415.39
2016-01-12 00:00:00,682.14,508.28,374.02,1410.0
2016-01-12 01:00:00,675.76,459.66,444.49,1392.8
2016-01-12 02:00:00,691.47,496.35,368.33,1388.42
2016-01-12 03:00:00,685.42,511.39,367.26,1389.99
2016-01-12 04:00:00,684.3,516.96,363.78,1383.47
2016-01-12 05:00:00,682.27,725.43,374.95,1387.57
2016-01-12 06:00:00,718.81,718.62,554.79,1728.24
2016-01-12 07:00:00,986.54,746.96,1564.34,2035.57
2016-01-12 08:00:00,1090.83,806.43,1657.1,2117.67
2016-01-12 09:00:00,1079.8,786.88,1704.53,2161.36
2016-01-12 10:00:00,1095.38,735.22,1701.56,1765.65
2016-01-12 11:00:00,1101.84,709.78,1668.63,1328.36
2016-01-12 12:00:00,1053.12,806.93,1667.2,1527.95
2016-01-12 13:00:00,1041.88,839.74,1692.9,1541.6
2016-01-12 14:00:00,1035.01,841.93,1687.08,1525.86
2016-01-12 15:00:00,1008.55,819.13,1627.84,1536.28
2016-01-12 16:00:00,900.19,811.08,1505.1,1540.92
2016-01-12 17:00:00,877.43,792.86,1575.1,1789.43
2016-01-12 18:00:00,891.83,766.37,1572.21,1978.18
2016-01-12 19:00:00,749.54,748.18,1020.13,1749.77
2016-01-12 20:00:00,718.18,556.25,553.42,1709.4
2016-01-12 21:00:00,689.3,536.55,518.71,1732.42
2016-01-12 22:00:00,695.72,494.66,443.51,1717.59
2016-01-12 23:00:00,701.14,451.61,395.92,1698.38
2016-01-13 00:00:00,716.76,453.83,375.75,1713.61
2016-01-13 01:00:00,719.15,449.16,448.14,1688.11
2016-01-13 02:00:00,727.6,484.66,371.65,1727.18
2016-01-13 03:00:00,719.48,486.05,378.08,1699.17
2016-01-13 04:00:00,734.36,505.54,378.05,1738.16
2016-01-13 05:00:00,739.39,723.38,395.04,1690.56
2016-01-13 06:00:00,795.63,716.72,606.39,1961.93
2016-01-13 07:00:00,1082.1,782.82,1749.21,2030.52
2016-01-13 08:00:00,1183.73,825.7,1824.15,2093.09
2016-01-13 09:00:00,1159.48,854.81,1845.93,2079.92
2016-01-13 10:00:00,1122.99,776.52,1802.2,2034.08
2016-01-13 11:00:00,1087.17,711.48,1736.75,1537.1
2016-01-13 12:00:00,1073.18,681.41,1722.36,1583.42
2016-01-13 13:00:00,1062.05,678.88,1735.11,1593.34
2016-01-13 14:00:00,1044.58,672.07,1742.11,1591.19
2016-01-13 15:00:00,1042.06,683.54,1718.44,1586.35
2016-01-13 16:00:00,989.13,702.87,1707.47,1572.95
2016-01-13 17:00:00,1013.01,695.46,1724.11,1544.2
2016-01-13 18:00:00,1008.83,697.67,1727.19,1496.55
2016-01-13 19:00:00,800.32,683.89,1095.41,1479.35
2016-01-13 20:00:00,746.5,581.46,541.58,1444.22
2016-01-13 21:00:00,717.88,557.17,479.94,1426.47
2016-01-13 22:00:00,713.06,567.55,456.74,1431.06
2016-01-13 23:00:00,705.3,552.98,408.96,1392.3
2016-01-14 00:00:00,704.83,528.64,381.69,1392.45
2016-01-14 01:00:00,706.17,469.03,509.81,1375.77
2016-01-14 02:00:00,729.17,513.14,377.46,1372.74
2016-01-14 03:00:00,702.77,511.66,381.24,1364.63
2016-01-14 04:00:00,700.02,517.23,378.07,1366.5
2016-01-14 05:00:00,701.7,751.4,392.75,1381.56
2016-01-14 06:00:00,776.04,746.39,559.41,1372.46
2016-01-14 07:00:00,1024.77,742.77,1739.59,1399.22
2016-01-14 08:00:00,1123.21,834.01,1805.42,1444.98
2016-01-14 09:00:00,1111.77,853.88,1798.62,1055.59
2016-01-14 10:00:00,1073.04,781.7,1721.44,817.65
2016-01-14 11:00:00,1044.16,720.16,1654.63,842.75
2016-01-14 12:00:00,1009.93,738.37,1621.45,839.73
2016-01-14 13:00:00,972.22,767.27,1643.1,857.13
2016-01-14 14:00:00,962.18,779.63,1668.07,844.36
2016-01-14 15:00:00,921.88,776.44,1578.86,860.78
2016-01-14 16:00:00,893.31,808.84,1511.93,853.83
2016-01-14 17:00:00,887.73,811.34,1506.8,834.85
2016-01-14 18:00:00,867.33,809.53,1526.62,785.67
2016-01-14 19:00:00,724.01,803.99,992.41,748.67
2016-01-14 20:00:00,714.42,570.26,525.07,729.18
2016-01-14 21:00:00,667.5,565.74,571.55,705.14
2016-01-14 22:00:00,632.8,566.79,601.27,693.46
2016-01-14 23:00:00,631.49,528.95,546.03,678.26
2016-01-15 00:00:00,634.01,523.18,529.84,670.87
2016-01-15 01:00:00,653.87,535.64,527.9,659.87
2016-01-15 02:00:00,627.17,522.57,513.56,658.72
2016-01-15 03:00:00,654.97,522.12,499.89,655.77
2016-01-15 04:00:00,634.54,526.71,508.61,658.58
2016-01-15 05:00:00,657.13,731.56,508.23,656.25
2016-01-15 06:00:00,652.24,776.67,621.07,1010.9
2016-01-15 07:00:00,932.87,798.51,1445.08,1413.54
2016-01-15 08:00:00,1030.97,844.27,1597.17,1468.88
2016-01-15 09:00:00,1005.15,870.31,1569.88,1499.84
2016-01-15 10:00:00,992.98,804.5,1533.43,1549.86
2016-01-15 11:00:00,968.48,782.02,1458.7,1556.82
2016-01-15 12:00:00,936.0,777.54,1516.59,1399.32
2016-01-15 13:00:00,921.06,796.29,1527.56,838.01
2016-01-15 14:00:00,913.41,809.37,1555.91,824.1
2016-01-15 15:00:00,916.61,829.72,1576.28,826.49
2016-01-15 16:00:00,919.82,835.05,1574.91,823.07
2016-01-15 17:00:00,917.26,832.1,1543.45,808.72
2016-01-15 18:00:00,878.06,800.43,1479.55,770.21
2016-01-15 19:00:00,712.47,762.71,921.56,735.29
2016-01-15 20:00:00,719.33,560.63,577.65,711.84
2016-01-15 21:00:00,638.83,517.61,456.55,684.93
2016-01-15 22:00:00,661.97,511.36,443.85,688.96
2016-01-15 23:00:00,629.52,488.26,457.53,677.59
2016-01-16 00:00:00,650.11,481.09,496.52,673.97
2016-01-16 01:00:00,626.84,457.84,496.01,677.36
2016-01-16 02:00:00,649.29,482.45,494.48,674.82
2016-01-16 03:00:00,633.69,421.66,491.47,664.47
2016-01-16 04:00:00,657.8,391.2,489.84,659.63
2016-01-16 05:00:00,626.87,399.17,490.45,663.17
2016-01-16 06:00:00,669.27,410.12,519.45,661.37
2016-01-16 07:00:00,672.59,429.88,530.24,651.08
2016-01-16 08:00:00,700.66,555.5,510.18,653.05
2016-01-16 09:00:00,671.61,516.61,507.43,665.3
2016-01-16 10:00:00,681.84,506.22,476.54,666.75
2016-01-16 11:00:00,694.15,494.32,373.41,659.92
2016-01-16 12:00:00,667.02,467.26,376.38,672.24
2016-01-16 13:00:00,661.85,432.7,374.24,658.63
2016-01-16 14:00:00,662.59,410.13,379.98,669.16
2016-01-16 15:00:00,680.19,412.43,381.5,683.17
2016-01-16 16:00:00,648.07,420.53,380.1,671.18
2016-01-16 17:00:00,676.85,432.98,407.14,657.92
2016-01-16 18:00:00,649.21,407.7,388.66,679.05
2016-01-16 19:00:00,652.76,396.37,374.67,672.04
2016-01-16 20:00:00,648.98,401.75,370.77,661.48
2016-01-16 21:00:00,670.74,413.2,490.63,670.95
2016-01-16 22:00:00,658.13,418.69,501.09,666.31
2016-01-16 23:00:00,665.99,396.0,494.8,658.18
2016-01-17 00:00:00,671.99,378.09,497.38,660.32
2016-01-17 01:00:00,690.51,381.21,395.33,657.52
2016-01-17 02:00:00,685.73,396.57,358.51,646.43
2016-01-17 03:00:00,670.65,397.86,406.0,656.97
2016-01-17 04:00:00,692.52,405.19,496.71,653.64
2016-01-17 05:00:00,672.32,428.57,501.81,651.84
2016-01-17 06:00:00,710.11,435.13,505.24,660.98
2016-01-17 07:00:00,714.37,447.63,485.38,649.22
2016-01-17 08:00:00,753.05,598.82,358.84,649.95
2016-01-17 09:00:00,706.65,572.71,469.54,663.32
2016-01-17 10:00:00,730.2,556.57,503.53,649.37
2016-01-17 11:00:00,712.29,541.34,506.63,658.89
2016-01-17 12:00:00,733.24,537.5,425.66,1787.64
2016-01-17 13:00:00,706.37,526.8,367.31,1966.41
2016-01-17 14:00:00,725.06,529.69,355.85,1971.89
2016-01-17 15:00:00,716.16,524.55,366.93,1970.02
2016-01-17 16:00:00,695.1,515.06,481.75,1830.96
2016-01-17 17:00:00,688.62,503.36,495.96,1732.75
2016-01-17 18:00:00,709.19,445.78,512.04,1736.49
2016-01-17 19:00:00,694.98,440.57,508.73,1682.9
2016-01-17 20:00:00,691.36,439.99,382.95,1743.65
2016-01-17 21:00:00,702.67,448.99,358.65,1700.46
2016-01-17 22:00:00,684.69,451.26,362.53,1700.87
2016-01-17 23:00:00,703.42,437.58,481.45,1679.9
2016-01-18 00:00:00,689.4,434.64,508.04,1688.87
2016-01-18 01:00:00,722.07,452.18,518.11,1713.86
2016-01-18 02:00:00,697.03,476.57,509.38,1717.12
2016-01-18 03:00:00,732.42,486.75,388.49,1707.97
2016-01-18 04:00:00,704.93,624.84,453.87,1811.07
2016-01-18 05:00:00,747.18,671.52,541.12,1791.19
2016-01-18 06:00:00,779.49,695.57,829.65,1797.12
2016-01-18 07:00:00,1093.33,588.72,1795.35,1800.05
2016-01-18 08:00:00,1150.14,659.98,1786.06,1779.52
2016-01-18 09:00:00,1094.94,587.79,1694.95,1846.34
2016-01-18 10:00:00,1039.6,594.57,1584.16,1827.55
2016-01-18 11:00:00,1014.82,561.01,1510.56,1825.99
2016-01-18 12:00:00,987.28,534.66,1474.04,1587.01
2016-01-18 13:00:00,986.49,522.43,1483.86,1737.63
2016-01-18 14:00:00,972.61,527.29,1477.87,1735.18
2016-01-18 15:00:00,955.14,540.31,1444.92,1735.48
2016-01-18 16:00:00,912.72,577.21,1392.69,1697.07
2016-01-18 17:00:00,925.45,681.25,1472.57,1739.91
2016-01-18 18:00:00,946.21,689.57,1579.84,1698.57
2016-01-18 19:00:00,788.75,731.67,1031.07,1729.7
2016-01-18 20:00:00,792.11,625.77,539.68,1747.39
2016-01-18 21:00:00,772.61,629.76,426.72,1717.36
2016-01-18 22:00:00,780.01,636.62,413.58,1765.54
2016-01-18 23:00:00,766.36,619.13,414.45,1751.16
2016-01-19 00:00:00,783.69,618.95,425.38,1792.12
2016-01-19 01:00:00,763.62,587.52,687.23,1736.5
2016-01-19 02:00:00,799.92,624.89,626.72,1784.55
2016-01-19 03:00:00,761.32,636.25,638.45,1813.6
2016-01-19 04:00:00,791.24,630.73,650.35,1762.97
2016-01-19 05:00:00,747.16,916.68,683.98,1788.36
2016-01-19 06:00:00,857.46,902.68,1016.79,1803.5
2016-01-19 07:00:00,1178.63,884.1,1935.64,1753.15
2016-01-19 08:00:00,1276.71,919.91,1970.37,1900.09
2016-01-19 09:00:00,1265.7,972.81,2052.7,1948.16
2016-01-19 10:00:00,1240.66,891.1,1872.65,2015.05
2016-01-19 11:00:00,1201.17,819.74,1914.26,2011.84
2016-01-19 12:00:00,1163.07,786.88,1959.98,1975.6
2016-01-19 13:00:00,1141.48,768.32,1900.09,2032.04
2016-01-19 14:00:00,1146.58,746.82,1904.38,1801.06
2016-01-19 15:00:00,1127.06,752.59,1912.33,1566.13
2016-01-19 16:00:00,1054.5,779.11,1959.33,1575.95
2016-01-19 17:00:00,1055.94,761.3,1944.17,2136.48
2016-01-19 18:00:00,1056.13,743.92,1956.17,2207.62
2016-01-19 19:00:00,886.56,745.17,1272.55,2077.54
2016-01-19 20:00:00,849.68,645.39,699.33,2026.63
2016-01-19 21:00:00,822.63,641.57,590.6,2108.16
2016-01-19 22:00:00,820.72,634.76,531.6,2072.92
2016-01-19 23:00:00,784.73,625.64,505.26,2029.61
2016-01-20 00:00:00,809.05,613.84,649.88,2022.23
2016-01-20 01:00:00,807.16,562.5,773.99,2044.88
