timestamp,Rat_public_Yessenia,Rat_public_Roma,Rat_public_Nelson,Rat_public_Corinne
2016-01-02 19:00:00,128.56,93.07,46.84,18.98
2016-01-02 20:00:00,119.82,95.57,46.61,18.32
2016-01-02 21:00:00,125.61,94.04,48.91,18.06
2016-01-02 22:00:00,124.51,93.91,47.3,16.86
2016-01-02 23:00:00,113.54,22.1,49.55,17.68
2016-01-03 00:00:00,105.34,22.65,50.19,16.58
2016-01-03 01:00:00,104.24,22.37,49.86,14.99
2016-01-03 02:00:00,111.27,22.73,49.49,15.56
2016-01-03 03:00:00,112.73,22.79,52.88,15.6
2016-01-03 04:00:00,113.53,22.81,53.13,16.16
2016-01-03 05:00:00,114.17,22.8,48.84,15.65
2016-01-03 06:00:00,115.48,22.85,51.36,17.03
2016-01-03 07:00:00,116.22,22.72,51.38,18.76
2016-01-03 08:00:00,115.47,57.79,52.98,18.23
2016-01-03 09:00:00,119.09,95.41,55.4,19.39
2016-01-03 10:00:00,125.12,100.02,47.55,18.96
2016-01-03 11:00:00,122.33,104.51,46.21,17.86
2016-01-03 12:00:00,125.64,107.93,45.52,17.2
2016-01-03 13:00:00,127.78,108.0,47.75,15.62
2016-01-03 14:00:00,122.67,103.26,47.2,16.24
2016-01-03 15:00:00,121.18,80.29,50.17,16.97
2016-01-03 16:00:00,121.49,77.11,45.64,16.61
2016-01-03 17:00:00,122.91,78.95,44.59,16.95
2016-01-03 18:00:00,116.47,69.75,45.84,17.6
2016-01-03 19:00:00,99.99,79.15,47.2,18.4
2016-01-03 20:00:00,100.65,90.33,51.25,18.62
2016-01-03 21:00:00,108.54,89.68,52.64,17.87
2016-01-03 22:00:00,109.89,86.73,51.93,17.76
2016-01-03 23:00:00,114.26,22.95,49.88,19.05
2016-01-04 00:00:00,111.7,22.59,51.32,18.01
2016-01-04 01:00:00,102.21,21.42,50.89,17.28
2016-01-04 02:00:00,112.9,21.93,51.23,15.03
2016-01-04 03:00:00,114.08,21.93,51.56,15.46
2016-01-04 04:00:00,115.01,21.89,52.25,16.51
2016-01-04 05:00:00,117.63,22.04,52.31,18.1
2016-01-04 06:00:00,118.88,12.42,54.74,18.63
2016-01-04 07:00:00,123.12,10.09,55.66,17.37
2016-01-04 08:00:00,132.83,52.45,53.82,16.99
2016-01-04 09:00:00,139.03,103.83,64.44,16.52
2016-01-04 10:00:00,136.35,109.78,63.21,17.39
2016-01-04 11:00:00,135.86,109.5,62.05,17.51
2016-01-04 12:00:00,129.87,109.69,58.49,17.13
2016-01-04 13:00:00,128.86,109.11,58.07,17.55
2016-01-04 14:00:00,125.29,112.34,55.1,17.16
2016-01-04 15:00:00,110.81,113.92,57.16,16.89
2016-01-04 16:00:00,114.47,111.6,59.94,16.2
2016-01-04 17:00:00,122.09,110.94,62.52,16.49
2016-01-04 18:00:00,132.45,114.18,66.22,16.87
2016-01-04 19:00:00,134.55,111.52,64.4,17.1
2016-01-04 20:00:00,136.47,110.87,66.52,16.83
2016-01-04 21:00:00,137.68,110.71,68.83,17.88
2016-01-04 22:00:00,135.9,95.1,66.6,18.07
2016-01-04 23:00:00,125.37,22.61,62.64,19.1
2016-01-05 00:00:00,121.23,24.55,65.85,17.51
2016-01-05 01:00:00,117.04,26.1,69.47,17.82
2016-01-05 02:00:00,129.14,22.77,70.9,16.68
2016-01-05 03:00:00,128.61,23.01,73.24,18.59
2016-01-05 04:00:00,129.06,23.28,71.18,19.25
2016-01-05 05:00:00,130.44,23.21,75.25,20.23
2016-01-05 06:00:00,130.82,23.31,74.39,22.24
2016-01-05 07:00:00,131.41,23.47,74.27,20.98
2016-01-05 08:00:00,144.26,63.85,73.12,20.5
2016-01-05 09:00:00,145.08,94.6,77.74,20.59
2016-01-05 10:00:00,134.97,105.79,79.85,19.16
2016-01-05 11:00:00,131.72,110.06,78.22,18.44
2016-01-05 12:00:00,135.38,111.24,76.28,18.8
2016-01-05 13:00:00,131.8,108.91,73.18,18.91
2016-01-05 14:00:00,127.34,107.47,70.66,18.41
2016-01-05 15:00:00,112.81,107.55,72.13,18.68
2016-01-05 16:00:00,113.13,110.7,66.95,18.57
2016-01-05 17:00:00,114.26,108.93,71.45,18.44
2016-01-05 18:00:00,129.94,109.6,71.45,19.12
2016-01-05 19:00:00,133.53,111.75,75.83,19.94
2016-01-05 20:00:00,140.12,111.02,72.85,20.29
2016-01-05 21:00:00,140.21,110.02,71.84,19.8
2016-01-05 22:00:00,133.93,94.42,65.91,19.26
2016-01-05 23:00:00,123.6,23.08,66.84,18.26
2016-01-06 00:00:00,120.47,23.6,65.29,17.72
2016-01-06 01:00:00,114.98,23.38,66.89,17.44
2016-01-06 02:00:00,126.75,24.33,66.26,17.36
2016-01-06 03:00:00,124.24,24.22,66.76,16.24
2016-01-06 04:00:00,126.7,25.63,67.13,16.19
2016-01-06 05:00:00,124.15,24.1,65.58,17.67
2016-01-06 06:00:00,123.92,23.82,68.26,19.32
2016-01-06 07:00:00,130.65,24.55,69.65,19.54
2016-01-06 08:00:00,139.35,63.89,71.02,20.19
2016-01-06 09:00:00,140.67,108.34,70.87,20.42
2016-01-06 10:00:00,137.12,112.19,63.08,19.96
2016-01-06 11:00:00,134.81,113.5,72.95,19.14
2016-01-06 12:00:00,134.87,112.38,68.74,17.83
2016-01-06 13:00:00,131.69,109.55,65.4,18.25
2016-01-06 14:00:00,120.82,108.7,65.96,19.59
2016-01-06 15:00:00,112.68,109.31,63.76,19.11
2016-01-06 16:00:00,110.27,110.66,62.78,19.31
2016-01-06 17:00:00,115.54,115.45,59.84,19.52
2016-01-06 18:00:00,121.95,110.84,63.53,19.83
2016-01-06 19:00:00,134.75,109.37,64.52,19.27
2016-01-06 20:00:00,131.2,108.47,63.24,18.26
2016-01-06 21:00:00,128.94,107.58,61.97,17.9
2016-01-06 22:00:00,128.74,93.52,61.58,17.74
2016-01-06 23:00:00,117.5,22.89,61.17,17.99
2016-01-07 00:00:00,117.12,24.02,59.99,18.11
2016-01-07 01:00:00,124.85,22.73,58.13,16.95
2016-01-07 02:00:00,133.71,23.25,61.96,16.3
2016-01-07 03:00:00,132.69,22.87,64.15,14.99
2016-01-07 04:00:00,133.83,23.38,59.36,14.46
2016-01-07 05:00:00,132.4,22.63,60.08,16.97
2016-01-07 06:00:00,132.66,23.34,61.34,19.0
2016-01-07 07:00:00,132.08,23.08,58.23,18.87
2016-01-07 08:00:00,131.23,65.73,60.73,19.45
2016-01-07 09:00:00,130.7,111.19,57.82,17.73
2016-01-07 10:00:00,125.77,109.72,55.7,17.0
2016-01-07 11:00:00,126.28,109.99,57.66,16.97
2016-01-07 12:00:00,125.54,106.48,55.94,19.22
2016-01-07 13:00:00,123.09,106.24,58.58,19.78
2016-01-07 14:00:00,114.33,107.66,58.34,20.71
2016-01-07 15:00:00,116.4,111.68,57.81,20.34
2016-01-07 16:00:00,114.76,105.56,57.88,19.91
2016-01-07 17:00:00,113.02,95.39,53.49,16.53
2016-01-07 18:00:00,112.02,89.93,58.43,18.06
2016-01-07 19:00:00,112.43,89.65,59.25,18.59
2016-01-07 20:00:00,109.46,84.52,55.94,16.32
2016-01-07 21:00:00,113.47,86.3,52.75,18.45
2016-01-07 22:00:00,111.11,79.37,55.29,17.71
2016-01-07 23:00:00,104.49,22.3,53.37,16.56
2016-01-08 00:00:00,100.71,22.6,52.1,17.96
2016-01-08 01:00:00,95.54,22.16,49.73,17.27
2016-01-08 02:00:00,104.57,22.72,52.25,13.98
2016-01-08 03:00:00,102.02,22.71,50.97,13.91
2016-01-08 04:00:00,103.98,22.24,49.15,14.11
2016-01-08 05:00:00,102.4,22.57,51.27,16.16
2016-01-08 06:00:00,105.28,22.64,51.7,17.37
2016-01-08 07:00:00,108.64,22.93,54.1,17.47
2016-01-08 08:00:00,121.67,63.95,53.68,16.84
2016-01-08 09:00:00,118.13,103.86,52.85,16.57
2016-01-08 10:00:00,120.6,105.59,60.9,17.12
2016-01-08 11:00:00,113.66,108.87,59.0,16.83
2016-01-08 12:00:00,114.58,108.01,55.71,16.82
2016-01-08 13:00:00,110.27,107.18,57.23,16.61
2016-01-08 14:00:00,109.79,106.58,55.93,16.01
2016-01-08 15:00:00,109.05,98.63,55.49,15.61
2016-01-08 16:00:00,109.4,100.8,51.22,14.97
2016-01-08 17:00:00,109.32,89.55,52.55,16.39
2016-01-08 18:00:00,108.66,101.0,53.49,17.94
2016-01-08 19:00:00,108.74,91.49,47.41,18.49
2016-01-08 20:00:00,111.63,92.78,49.93,16.98
2016-01-08 21:00:00,115.46,90.7,48.28,17.68
2016-01-08 22:00:00,110.46,85.78,47.95,17.63
2016-01-08 23:00:00,98.63,22.47,48.31,16.79
2016-01-09 00:00:00,99.52,22.33,46.08,16.61
2016-01-09 01:00:00,95.11,22.71,50.7,16.1
2016-01-09 02:00:00,103.15,22.3,43.92,15.16
2016-01-09 03:00:00,102.4,22.79,49.23,14.79
2016-01-09 04:00:00,104.17,22.3,47.99,14.98
2016-01-09 05:00:00,103.59,22.72,50.98,16.68
2016-01-09 06:00:00,103.59,22.78,49.22,17.52
2016-01-09 07:00:00,106.38,22.37,49.53,18.26
2016-01-09 08:00:00,117.19,54.41,50.03,17.46
2016-01-09 09:00:00,113.06,98.57,47.36,17.12
2016-01-09 10:00:00,116.91,107.9,53.06,17.09
2016-01-09 11:00:00,113.31,108.2,52.11,16.36
2016-01-09 12:00:00,110.66,107.46,48.62,15.43
2016-01-09 13:00:00,106.23,96.21,50.26,16.36
2016-01-09 14:00:00,106.97,88.35,47.61,16.18
2016-01-09 15:00:00,107.86,87.47,52.66,16.21
2016-01-09 16:00:00,106.71,75.3,48.65,16.18
2016-01-09 17:00:00,113.44,73.55,48.26,16.61
2016-01-09 18:00:00,97.74,68.15,46.06,16.42
2016-01-09 19:00:00,91.57,67.9,41.45,17.05
2016-01-09 20:00:00,101.23,74.01,40.9,17.99
2016-01-09 21:00:00,104.41,79.02,41.59,17.78
2016-01-09 22:00:00,102.04,73.0,40.43,17.96
2016-01-09 23:00:00,88.06,21.98,40.41,17.69
2016-01-10 00:00:00,86.0,22.49,39.93,17.13
2016-01-10 01:00:00,88.55,22.91,41.84,15.89
2016-01-10 02:00:00,92.35,28.86,38.65,13.82
2016-01-10 03:00:00,92.89,28.27,37.29,13.8
2016-01-10 04:00:00,95.32,28.99,38.44,14.24
2016-01-10 05:00:00,98.06,28.5,35.85,14.26
2016-01-10 06:00:00,92.08,28.9,35.45,16.81
2016-01-10 07:00:00,87.1,28.49,35.15,16.67
2016-01-10 08:00:00,78.8,56.74,35.12,16.4
2016-01-10 09:00:00,77.85,82.37,32.81,16.86
2016-01-10 10:00:00,90.57,88.62,34.02,15.99
2016-01-10 11:00:00,89.39,93.55,35.27,15.27
2016-01-10 12:00:00,90.77,78.55,36.02,16.14
2016-01-10 13:00:00,85.26,70.87,35.99,15.69
2016-01-10 14:00:00,81.35,73.11,39.7,15.7
2016-01-10 15:00:00,85.76,77.76,39.13,15.04
2016-01-10 16:00:00,86.27,79.58,41.46,15.0
2016-01-10 17:00:00,86.26,92.33,39.92,16.24
2016-01-10 18:00:00,91.13,70.47,39.34,17.33
2016-01-10 19:00:00,98.96,79.82,39.11,16.93
2016-01-10 20:00:00,95.47,87.19,41.21,16.39
2016-01-10 21:00:00,101.22,88.38,41.98,18.37
2016-01-10 22:00:00,106.38,85.14,43.06,18.09
2016-01-10 23:00:00,110.23,21.81,48.32,16.17
2016-01-11 00:00:00,109.62,21.77,48.41,15.3
2016-01-11 01:00:00,105.97,21.91,54.13,15.23
2016-01-11 02:00:00,118.29,22.25,56.06,14.52
2016-01-11 03:00:00,119.22,22.12,56.47,13.82
2016-01-11 04:00:00,118.65,22.26,56.34,13.08
2016-01-11 05:00:00,122.45,22.44,58.02,14.18
2016-01-11 06:00:00,119.36,22.52,59.9,16.85
2016-01-11 07:00:00,126.34,23.54,59.64,16.97
2016-01-11 08:00:00,133.17,61.72,59.43,17.09
2016-01-11 09:00:00,137.61,105.44,59.84,17.62
2016-01-11 10:00:00,135.94,107.42,53.07,17.71
2016-01-11 11:00:00,130.46,113.32,59.05,17.66
2016-01-11 12:00:00,126.67,111.24,66.62,18.52
2016-01-11 13:00:00,127.51,107.94,60.53,19.02
2016-01-11 14:00:00,118.33,109.82,55.91,19.09
2016-01-11 15:00:00,108.89,111.91,61.01,19.6
2016-01-11 16:00:00,108.32,111.11,57.52,19.15
2016-01-11 17:00:00,113.91,105.86,57.21,18.1
2016-01-11 18:00:00,123.43,94.47,60.19,18.77
2016-01-11 19:00:00,132.22,95.7,60.38,19.66
2016-01-11 20:00:00,136.65,107.56,65.02,21.48
2016-01-11 21:00:00,134.75,110.27,69.92,20.94
2016-01-11 22:00:00,134.15,95.06,64.96,19.85
2016-01-11 23:00:00,121.37,22.58,64.82,19.41
2016-01-12 00:00:00,116.34,24.21,62.17,18.3
2016-01-12 01:00:00,106.84,24.66,63.91,17.06
2016-01-12 02:00:00,121.89,23.22,62.76,15.33
2016-01-12 03:00:00,124.7,23.14,65.6,15.19
2016-01-12 04:00:00,125.12,22.75,62.28,16.62
2016-01-12 05:00:00,125.91,25.08,65.93,18.77
2016-01-12 06:00:00,123.36,23.42,65.84,18.78
2016-01-12 07:00:00,125.0,23.59,66.78,18.26
2016-01-12 08:00:00,137.28,65.34,68.44,16.45
2016-01-12 09:00:00,135.61,108.61,68.81,17.15
2016-01-12 10:00:00,142.39,112.83,69.47,17.34
2016-01-12 11:00:00,141.52,111.38,69.45,17.7
2016-01-12 12:00:00,144.25,109.85,66.08,17.49
2016-01-12 13:00:00,139.98,111.25,60.1,18.01
2016-01-12 14:00:00,138.54,99.45,57.96,18.49
2016-01-12 15:00:00,136.8,104.53,59.59,18.8
2016-01-12 16:00:00,132.73,104.48,55.24,18.12
2016-01-12 17:00:00,133.96,95.62,55.33,17.27
2016-01-12 18:00:00,136.86,100.65,55.43,19.36
2016-01-12 19:00:00,133.13,97.83,57.66,18.53
2016-01-12 20:00:00,130.08,95.11,65.34,19.18
2016-01-12 21:00:00,127.38,101.52,64.43,18.97
2016-01-12 22:00:00,118.1,87.22,40.46,19.42
2016-01-12 23:00:00,119.68,23.13,24.25,17.89
2016-01-13 00:00:00,116.25,23.57,23.54,15.83
2016-01-13 01:00:00,105.25,23.37,23.89,16.36
2016-01-13 02:00:00,123.83,23.51,22.65,14.57
2016-01-13 03:00:00,125.98,23.52,23.61,14.79
2016-01-13 04:00:00,126.23,24.04,23.71,13.45
2016-01-13 05:00:00,126.44,23.95,23.99,14.94
2016-01-13 06:00:00,123.68,24.59,24.63,17.22
2016-01-13 07:00:00,127.52,24.81,24.36,17.51
2016-01-13 08:00:00,142.72,66.78,24.58,18.39
2016-01-13 09:00:00,140.59,120.78,28.54,18.44
2016-01-13 10:00:00,132.86,109.47,43.9,17.82
2016-01-13 11:00:00,132.55,110.57,88.07,16.61
2016-01-13 12:00:00,131.63,116.54,85.22,16.28
2016-01-13 13:00:00,127.13,101.41,82.8,16.5
2016-01-13 14:00:00,122.08,90.93,75.64,16.25
2016-01-13 15:00:00,119.84,81.94,74.77,17.93
2016-01-13 16:00:00,121.39,85.37,72.57,18.83
2016-01-13 17:00:00,129.39,83.21,74.1,18.37
2016-01-13 18:00:00,133.41,83.1,74.01,20.09
2016-01-13 19:00:00,133.9,82.18,74.45,19.97
2016-01-13 20:00:00,134.33,85.08,73.84,19.52
2016-01-13 21:00:00,126.61,90.46,73.65,18.44
2016-01-13 22:00:00,109.02,73.61,72.3,17.6
2016-01-13 23:00:00,97.15,23.5,67.85,18.11
2016-01-14 00:00:00,98.45,23.82,70.55,17.92
2016-01-14 01:00:00,107.93,23.98,69.03,16.55
2016-01-14 02:00:00,113.76,24.48,69.67,15.91
2016-01-14 03:00:00,113.65,23.93,69.42,15.4
2016-01-14 04:00:00,112.52,23.92,65.35,15.89
2016-01-14 05:00:00,113.55,24.4,68.23,16.13
2016-01-14 06:00:00,112.09,25.42,67.01,18.56
2016-01-14 07:00:00,111.74,24.36,65.92,19.34
2016-01-14 08:00:00,114.54,58.64,67.33,18.21
2016-01-14 09:00:00,109.54,99.99,63.9,17.76
2016-01-14 10:00:00,107.69,108.98,63.65,18.06
2016-01-14 11:00:00,99.25,105.16,58.52,18.81
2016-01-14 12:00:00,89.39,91.83,54.32,20.33
2016-01-14 13:00:00,94.47,76.74,58.14,19.51
2016-01-14 14:00:00,90.58,71.25,59.08,18.8
2016-01-14 15:00:00,82.9,63.98,54.79,18.29
2016-01-14 16:00:00,78.17,62.03,55.22,17.77
2016-01-14 17:00:00,79.19,59.24,54.5,16.57
2016-01-14 18:00:00,80.23,60.66,54.04,17.73
2016-01-14 19:00:00,83.54,60.26,55.93,17.76
2016-01-14 20:00:00,84.21,62.6,55.93,18.82
2016-01-14 21:00:00,91.32,60.6,58.06,18.42
2016-01-14 22:00:00,102.43,44.9,51.27,17.94
2016-01-14 23:00:00,98.05,21.64,50.81,17.55
2016-01-15 00:00:00,98.58,21.51,49.61,17.49
2016-01-15 01:00:00,96.75,21.79,49.35,16.91
2016-01-15 02:00:00,104.86,23.49,50.55,14.55
2016-01-15 03:00:00,106.43,22.21,51.09,14.86
2016-01-15 04:00:00,105.93,22.09,52.26,15.21
2016-01-15 05:00:00,107.05,22.08,49.41,15.33
2016-01-15 06:00:00,108.19,21.63,56.1,16.85
2016-01-15 07:00:00,111.86,22.54,55.19,17.45
2016-01-15 08:00:00,128.56,57.59,55.7,16.7
2016-01-15 09:00:00,128.35,99.41,58.28,17.03
2016-01-15 10:00:00,133.24,102.61,55.29,17.51
2016-01-15 11:00:00,132.09,81.49,56.76,16.45
2016-01-15 12:00:00,123.94,60.96,49.77,16.04
2016-01-15 13:00:00,120.61,56.9,50.41,15.41
2016-01-15 14:00:00,119.58,61.37,50.28,16.86
2016-01-15 15:00:00,119.82,61.24,46.95,16.88
2016-01-15 16:00:00,116.48,60.62,48.51,16.57
2016-01-15 17:00:00,112.56,61.18,50.04,17.21
2016-01-15 18:00:00,106.55,53.26,49.2,18.33
2016-01-15 19:00:00,109.99,43.24,42.89,18.91
2016-01-15 20:00:00,120.6,43.18,43.41,17.62
2016-01-15 21:00:00,118.98,56.97,46.5,18.64
2016-01-15 22:00:00,118.31,52.54,47.56,17.18
2016-01-15 23:00:00,105.2,21.31,45.27,16.85
2016-01-16 00:00:00,105.59,21.41,49.46,15.63
2016-01-16 01:00:00,101.07,21.66,47.82,15.15
2016-01-16 02:00:00,107.88,21.46,48.73,15.38
2016-01-16 03:00:00,107.8,21.61,50.45,14.71
2016-01-16 04:00:00,109.49,21.57,44.21,15.66
2016-01-16 05:00:00,108.86,21.54,42.4,15.82
2016-01-16 06:00:00,107.4,21.69,49.64,16.97
2016-01-16 07:00:00,111.72,21.54,46.91,16.76
2016-01-16 08:00:00,125.87,51.78,46.03,16.66
2016-01-16 09:00:00,122.48,91.91,46.95,15.96
2016-01-16 10:00:00,124.31,102.88,50.88,16.86
2016-01-16 11:00:00,120.53,99.22,50.64,17.05
2016-01-16 12:00:00,120.44,71.14,53.07,17.47
2016-01-16 13:00:00,112.04,60.34,49.28,17.1
2016-01-16 14:00:00,102.98,57.13,47.11,16.42
2016-01-16 15:00:00,104.95,59.41,52.27,16.82
2016-01-16 16:00:00,104.39,60.58,52.2,16.45
2016-01-16 17:00:00,112.45,57.82,54.33,16.7
2016-01-16 18:00:00,112.58,52.92,52.29,18.62
2016-01-16 19:00:00,116.91,43.26,45.85,18.27
2016-01-16 20:00:00,118.58,57.72,49.0,18.53
2016-01-16 21:00:00,121.12,57.06,51.25,17.52
2016-01-16 22:00:00,119.95,59.27,51.01,18.22
2016-01-16 23:00:00,106.92,21.61,48.58,17.15
2016-01-17 00:00:00,100.09,21.59,53.13,16.75
2016-01-17 01:00:00,102.47,21.67,55.45,16.65
2016-01-17 02:00:00,112.73,21.8,53.48,16.1
2016-01-17 03:00:00,114.93,21.83,54.99,15.05
2016-01-17 04:00:00,115.9,21.75,55.04,16.33
2016-01-17 05:00:00,115.47,21.9,52.41,15.56
2016-01-17 06:00:00,116.15,21.77,55.91,18.2
2016-01-17 07:00:00,117.2,21.78,54.26,18.23
2016-01-17 08:00:00,117.3,51.63,55.32,16.92
2016-01-17 09:00:00,121.45,85.72,53.25,17.86
2016-01-17 10:00:00,132.04,99.83,53.58,18.06
2016-01-17 11:00:00,132.01,106.02,52.79,18.18
2016-01-17 12:00:00,133.62,104.53,56.62,16.41
2016-01-17 13:00:00,133.91,103.89,63.3,18.3
2016-01-17 14:00:00,135.48,89.25,64.29,18.54
2016-01-17 15:00:00,132.64,94.64,62.74,17.24
2016-01-17 16:00:00,127.81,79.49,59.88,16.7
2016-01-17 17:00:00,124.36,71.97,58.75,16.75
2016-01-17 18:00:00,125.71,59.97,58.72,17.73
2016-01-17 19:00:00,127.77,60.11,55.44,18.27
2016-01-17 20:00:00,115.6,63.0,58.66,18.73
2016-01-17 21:00:00,114.61,63.26,63.16,17.83
2016-01-17 22:00:00,116.31,67.64,57.29,16.84
2016-01-17 23:00:00,117.52,21.93,62.95,16.8
2016-01-18 00:00:00,114.28,22.05,63.45,15.66
2016-01-18 01:00:00,108.52,23.68,64.7,14.67
2016-01-18 02:00:00,116.58,22.11,58.25,13.97
2016-01-18 03:00:00,117.59,22.12,64.86,12.31
2016-01-18 04:00:00,119.1,22.28,66.59,12.91
2016-01-18 05:00:00,118.47,22.81,66.51,15.98
2016-01-18 06:00:00,122.71,23.0,69.63,17.95
2016-01-18 07:00:00,119.24,23.16,71.24,17.8
2016-01-18 08:00:00,133.55,53.79,74.37,17.53
2016-01-18 09:00:00,131.4,81.56,72.86,18.12
2016-01-18 10:00:00,127.54,93.36,69.86,17.33
2016-01-18 11:00:00,124.32,94.49,71.69,17.14
2016-01-18 12:00:00,121.92,94.46,68.89,16.06
2016-01-18 13:00:00,115.98,82.7,68.87,16.04
2016-01-18 14:00:00,113.68,76.37,68.28,17.51
2016-01-18 15:00:00,114.49,71.99,67.43,17.26
2016-01-18 16:00:00,111.5,76.85,74.07,17.59
2016-01-18 17:00:00,109.02,88.81,68.75,18.17
2016-01-18 18:00:00,114.25,94.75,71.8,17.69
2016-01-18 19:00:00,119.67,95.01,75.46,18.5
2016-01-18 20:00:00,125.7,97.17,75.5,17.52
2016-01-18 21:00:00,128.01,98.6,76.99,18.05
2016-01-18 22:00:00,127.94,93.56,76.48,17.69
2016-01-18 23:00:00,111.59,24.12,76.73,16.8
2016-01-19 00:00:00,114.43,26.6,74.01,17.04
2016-01-19 01:00:00,109.76,27.76,78.86,15.58
2016-01-19 02:00:00,115.56,24.34,79.34,16.47
2016-01-19 03:00:00,116.98,25.25,77.63,16.25
2016-01-19 04:00:00,114.5,25.92,72.69,16.15
2016-01-19 05:00:00,114.14,25.41,72.48,18.28
2016-01-19 06:00:00,116.83,27.2,78.54,19.7
2016-01-19 07:00:00,116.13,26.48,77.89,21.33
2016-01-19 08:00:00,133.0,60.5,77.66,20.61
2016-01-19 09:00:00,131.71,90.6,79.92,22.52
2016-01-19 10:00:00,128.1,98.4,82.19,21.22
2016-01-19 11:00:00,124.3,107.55,87.09,19.29
2016-01-19 12:00:00,122.25,111.52,85.29,19.63
2016-01-19 13:00:00,118.58,104.06,80.45,19.11
2016-01-19 14:00:00,114.55,84.4,78.48,18.04
2016-01-19 15:00:00,111.91,86.58,78.66,17.86
2016-01-19 16:00:00,100.32,83.44,77.54,18.05
2016-01-19 17:00:00,102.59,83.92,79.99,18.97
2016-01-19 18:00:00,113.74,84.34,80.64,19.44
2016-01-19 19:00:00,121.3,85.61,78.81,19.22
2016-01-19 20:00:00,124.21,97.81,77.89,20.24
2016-01-19 21:00:00,124.31,97.93,82.49,20.05
2016-01-19 22:00:00,121.28,91.88,77.94,19.89
2016-01-19 23:00:00,107.45,24.51,75.2,19.8
2016-01-20 00:00:00,107.81,24.93,77.03,19.86
2016-01-20 01:00:00,106.39,25.89,74.03,19.96
2016-01-20 02:00:00,111.96,25.11,75.29,19.57
2016-01-20 03:00:00,112.23,25.19,73.93,18.68
2016-01-20 04:00:00,113.04,27.25,76.54,18.33
2016-01-20 05:00:00,112.98,25.77,73.08,19.46
2016-01-20 06:00:00,115.52,25.63,75.07,20.79
2016-01-20 07:00:00,117.91,25.64,76.1,20.91
2016-01-20 08:00:00,130.37,61.98,78.23,20.59
2016-01-20 09:00:00,128.15,98.34,74.55,20.96
2016-01-20 10:00:00,132.31,107.7,84.16,21.05
2016-01-20 11:00:00,125.58,114.48,80.66,20.92
2016-01-20 12:00:00,122.08,112.36,78.89,20.14
2016-01-20 13:00:00,115.85,97.85,77.36,19.22
2016-01-20 14:00:00,116.0,83.15,74.27,19.43
2016-01-20 15:00:00,116.58,82.77,74.19,19.61
2016-01-20 16:00:00,117.39,77.72,76.52,20.93
2016-01-20 17:00:00,120.88,81.11,74.4,20.48
2016-01-20 18:00:00,120.76,72.45,74.33,21.16
2016-01-20 19:00:00,120.81,76.48,77.1,22.01
2016-01-20 20:00:00,121.58,82.79,74.94,22.76
2016-01-20 21:00:00,119.83,82.23,77.29,22.78
2016-01-20 22:00:00,116.71,65.89,74.35,22.46
