timestamp,Panther_education_Jerome,Panther_education_Quintin,Panther_education_Hugh,Panther_education_Alecia,Panther_education_Vincent,Panther_education_Genevieve,Fox_education_Lilly,Fox_education_Andre,Fox_education_Leota,Fox_education_Yolande,Fox_education_Elvira,Fox_education_Gloria,Fox_education_Nilda,Fox_education_Claude,Rat_education_Willie,Rat_education_Eleonora,Rat_education_Veronica,Bear_education_Rebecca,Bear_education_Lorie,Bear_education_Zandra,Bear_education_Fannie,Bear_education_Alvaro,Lamb_education_Luz,Cockatoo_education_Eunice,Cockatoo_education_Evangeline,Cockatoo_education_Flora,Cockatoo_education_Marva
2016-01-01 16:00:00,0.0,,0.0,0.0,0.0,0.0,175.25,500.43,163.69,505.74,176.68,651.67,83.27,940.0,139.35,168.13,,751.8377,403.2,846.75,367.65,390.8142,68.6,412.375,212.05,667.475,111.525
2016-01-01 17:00:00,0.0,,0.0,0.0,0.0,0.0,176.15,502.62,160.92,501.8,164.54,650.62,83.74,932.37,138.71,164.73,,747.0037,397.44,842.25,366.5,391.9358,72.7,354.45,208.275,653.75,114.8
2016-01-01 18:00:00,0.0,,0.0,0.0,0.0,0.0,178.02,511.72,161.34,499.51,163.88,657.04,84.42,932.59,139.09,167.28,,722.3565,385.92,843.75,366.0994,386.416,71.4,336.975,209.8,675.4,109.55
2016-01-01 19:00:00,0.0,,0.0,0.0,0.0,0.0,179.39,522.69,155.95,498.08,164.59,668.29,85.09,927.9,137.68,168.23,,724.9877,391.68,839.0,369.1248,390.1835,72.5,330.725,216.525,671.275,107.225
2016-01-01 20:00:00,0.0,,0.0,0.0,0.0,0.0,176.39,476.09,151.75,488.35,164.22,668.77,85.32,927.4,137.55,169.18,,718.5043,385.92,839.75,366.5,391.1192,73.4,329.45,211.65,663.825,114.575
2016-01-01 21:00:00,0.0,,0.0,0.0,0.0,0.0,175.26,455.9,153.06,481.43,178.55,673.86,85.08,929.88,138.5,163.06,,711.3513,351.36,839.5,367.925,392.0258,74.4,329.125,204.425,641.7,104.675
2016-01-01 22:00:00,0.0,,0.0,0.0,0.0,0.0,175.09,447.12,154.32,476.89,180.16,673.13,84.15,924.07,95.88,155.4,,701.1344,345.6,840.0,370.9488,391.146,73.3,332.05,202.875,660.25,108.95
2016-01-01 23:00:00,0.0,,0.0,0.0,0.0,0.0,175.02,459.85,148.33,477.35,176.9,679.51,86.02,926.95,95.57,87.05,,704.0462,334.08,839.5,367.5505,354.8638,65.6,332.775,205.075,652.925,108.125
2016-01-02 00:00:00,0.0,,0.0,0.0,0.0,0.0,176.17,446.72,152.99,472.04,175.39,682.4,87.18,928.6,91.91,90.96,,714.2182,334.08,838.5,367.0495,357.0338,62.2,327.15,197.75,647.15,108.6
2016-01-02 01:00:00,0.0,,0.0,0.0,0.0,0.0,176.03,457.91,148.56,460.24,191.62,673.53,86.87,925.74,96.2,94.09,,718.015,334.08,840.75,369.875,356.8213,62.7,327.85,191.675,626.2,112.375
2016-01-02 02:00:00,0.0,,0.0,0.0,0.0,0.0,176.48,440.79,147.26,459.83,205.09,675.96,88.14,917.2,95.25,91.15,,704.65,339.84,849.25,371.125,330.1127,61.1,327.925,193.65,665.55,111.85
2016-01-02 03:00:00,0.0,,0.0,0.0,0.0,0.0,176.27,448.58,149.54,464.56,204.89,668.42,86.08,927.38,94.25,92.34,,710.1977,334.08,841.75,368.5252,328.142,62.6,329.95,196.85,660.975,113.575
2016-01-02 04:00:00,0.0,,0.0,0.0,0.0,0.0,176.33,442.83,148.44,464.54,209.07,669.0,87.86,927.19,94.63,94.2,,710.9166,334.08,842.25,368.2242,326.4202,64.4,328.675,195.425,647.125,108.575
2016-01-02 05:00:00,0.0,,0.0,0.0,0.0,0.0,178.1,448.4,147.29,464.3,210.27,666.88,87.56,925.75,108.97,101.0,,713.0938,357.12,840.5,370.4261,325.4875,61.9,330.0,199.325,650.775,114.925
2016-01-02 06:00:00,0.0,,0.0,0.0,0.0,0.0,185.93,444.46,150.83,473.89,219.36,667.9,109.12,928.9,130.76,112.67,,727.5663,362.88,835.0,365.975,370.6783,60.5,356.25,192.625,648.075,119.1
2016-01-02 07:00:00,0.0,,0.0,0.0,0.0,0.0,186.22,434.23,151.36,479.68,219.53,671.68,117.22,924.44,134.51,171.36,,726.2126,380.16,834.5,366.4,383.58,71.4,393.425,197.2,662.2,123.425
2016-01-02 08:00:00,0.0,,0.0,0.0,0.0,0.0,184.18,453.63,151.1,481.56,221.69,670.81,116.27,914.97,137.33,168.63,,732.9865,374.4,834.5,369.125,386.7668,71.7,433.825,192.425,653.475,122.7
2016-01-02 09:00:00,0.0,,0.0,0.0,0.0,0.0,184.61,472.99,211.64,487.57,202.58,663.31,115.25,924.71,137.5,167.14,,746.9893,385.92,834.5,366.25,389.8423,67.3,411.975,194.95,645.75,123.625
2016-01-02 10:00:00,0.0,,0.0,0.0,0.0,0.0,183.22,493.71,250.59,493.97,180.52,647.55,114.51,931.6,140.74,162.46,,750.1475,374.4,835.0,368.675,388.0448,61.8,409.325,194.0,670.95,119.025
2016-01-02 11:00:00,0.0,,0.0,0.0,0.0,0.0,183.6,494.72,260.68,493.67,175.33,645.07,117.63,908.35,143.94,160.08,,757.0235,385.92,837.5,370.0,391.0505,59.4,427.6,197.3,643.025,117.5
2016-01-02 12:00:00,0.0,,0.0,0.0,0.0,0.0,185.26,483.83,226.26,495.36,167.45,640.75,148.93,935.25,146.09,155.77,,758.6496,385.92,842.0,372.275,390.4093,60.1,426.2,200.475,673.2,116.25
2016-01-02 13:00:00,0.0,,0.0,0.0,0.0,0.0,185.99,467.46,216.3,501.51,162.73,635.81,148.67,941.65,150.52,144.36,,755.7757,391.68,841.5,371.025,395.4697,59.4,378.5,204.275,627.325,118.9
2016-01-02 14:00:00,0.0,,0.0,0.0,0.0,0.0,185.21,482.6,213.1,506.96,156.2,633.32,115.87,943.68,159.13,143.76,,758.4439,385.92,841.25,370.3499,401.9908,57.5,358.475,199.75,657.7,116.975
2016-01-02 15:00:00,0.0,,0.0,0.0,0.0,0.0,184.27,498.82,210.54,517.59,151.09,636.8,115.18,937.62,176.21,142.19,,762.8209,397.44,842.5,374.1243,398.1883,59.4,349.85,208.05,655.175,126.675
2016-01-02 16:00:00,0.0,,0.0,0.0,0.0,0.0,184.46,484.74,208.65,508.52,137.45,638.37,116.79,943.32,173.75,142.38,,748.5814,380.16,841.5,372.65,402.2332,63.0,356.9,205.725,652.225,129.8
2016-01-02 17:00:00,0.0,,0.0,0.0,0.0,0.0,185.98,477.85,208.32,513.11,139.15,640.43,118.27,935.77,172.65,144.49,,750.7173,403.2,844.0,370.125,401.7728,71.8,370.075,214.7,680.925,125.4
2016-01-02 18:00:00,0.0,,0.0,0.0,0.0,0.0,188.25,480.06,205.64,504.41,138.76,650.65,120.73,930.42,172.39,148.42,,734.7639999999999,391.68,845.25,370.55,399.3775,72.8,346.9,205.175,653.075,124.7
2016-01-02 19:00:00,0.0,,0.0,0.0,0.0,0.0,188.18,474.97,208.26,499.68,144.13,648.5,120.16,934.55,169.6,148.15,,727.2478,391.68,844.0,370.325,399.273,72.5,334.2,206.3,651.15,135.75
2016-01-02 20:00:00,0.0,,0.0,0.0,0.0,0.0,187.83,487.59,218.61,490.43,152.75,645.81,97.84,933.11,166.36,149.67,,718.3962,385.92,841.5,369.4999,395.633,73.3,326.425,200.625,677.5,122.825
2016-01-02 21:00:00,0.0,,0.0,0.0,0.0,0.0,184.17,497.8,172.04,487.14,155.91,648.86,89.35,928.3,165.37,147.92,,708.1585,351.36,839.5,367.1255,394.7158,73.3,337.95,204.05,655.0,124.225
2016-01-02 22:00:00,0.0,,0.0,0.0,0.0,0.0,182.5,476.0,154.45,477.44,158.13,652.4,88.65,925.22,109.19,140.14,,715.2472,345.6,841.0,369.325,397.421,73.5,337.075,203.225,663.775,115.125
2016-01-02 23:00:00,0.0,,0.0,0.0,0.0,0.0,180.18,474.14,153.33,476.62,156.22,655.96,88.35,925.81,106.37,87.03,,707.801,345.6,841.5,369.45,362.3232,76.3,331.725,205.55,659.25,113.275
2016-01-03 00:00:00,0.0,,0.0,0.0,0.0,0.0,179.94,452.41,152.61,480.07,163.42,655.76,88.6,908.05,99.25,90.93,,708.1509,334.08,845.0,365.275,357.135,62.9,330.15,197.325,645.725,123.625
2016-01-03 01:00:00,0.0,,0.0,0.0,0.0,0.0,180.33,469.65,149.63,473.07,171.43,655.13,88.45,917.9,101.49,93.07,,706.6733,334.08,844.75,369.15,361.3062,61.4,331.925,201.625,674.925,111.5
2016-01-03 02:00:00,0.0,,0.0,0.0,0.0,0.0,180.01,453.2,149.31,474.4,167.87,657.45,87.79,913.7,101.84,93.18,,709.8312,334.08,844.75,370.65,329.944,61.0,331.2,195.525,658.975,112.175
2016-01-03 03:00:00,0.0,,0.0,0.0,0.0,0.0,180.35,463.95,147.2,471.83,185.45,653.02,88.14,921.79,101.78,93.51,,707.9041,334.08,847.75,366.025,329.9178,60.5,331.175,198.65,642.4,110.775
2016-01-03 04:00:00,0.0,,0.0,0.0,0.0,0.0,180.37,466.92,149.37,470.91,190.17,653.79,88.13,921.26,100.54,95.65,,705.6207,339.84,841.0,364.175,330.8885,63.9,327.825,197.0,678.275,105.75
2016-01-03 05:00:00,0.0,,0.0,0.0,0.0,0.0,181.16,436.97,149.14,470.78,188.67,655.66,88.38,923.28,100.2,102.26,,710.7541,351.36,845.5,370.0,329.037,63.0,337.95,202.65,654.575,110.15
2016-01-03 06:00:00,0.0,,0.0,0.0,0.0,0.0,186.49,434.26,150.92,475.92,186.19,659.94,109.54,916.72,116.14,115.41,,714.8617,362.88,840.5,370.15,374.4045,61.4,354.425,200.25,663.525,123.175
2016-01-03 07:00:00,0.0,,0.0,0.0,0.0,0.0,184.83,458.84,154.06,484.46,188.23,657.65,117.5,916.0,116.26,173.22,,725.5688,380.16,842.5,366.075,388.469,70.7,341.3,201.925,686.175,119.9
2016-01-03 08:00:00,0.0,,0.0,0.0,0.0,0.0,182.92,466.76,152.95,485.27,163.45,657.8,116.21,916.78,115.86,169.82,,728.6398,374.4,840.0,366.35,389.1768,70.5,368.275,195.675,673.675,116.15
2016-01-03 09:00:00,0.0,,0.0,0.0,0.0,0.0,182.9,455.44,150.76,480.1,161.56,641.69,113.52,922.74,115.35,170.75,,741.8952,385.92,847.25,370.5,409.8352,67.7,353.6,194.4,659.825,124.725
2016-01-03 10:00:00,0.0,,0.0,0.0,0.0,0.0,182.99,483.18,159.86,500.07,163.51,636.27,113.66,920.27,115.39,169.13,,763.4,374.4,850.5,367.825,411.1278,63.3,339.775,202.65,679.55,121.15
2016-01-03 11:00:00,0.0,,0.0,0.0,0.0,0.0,183.03,467.82,165.07,503.87,153.62,630.75,114.71,915.98,116.95,164.92,,777.5689,380.16,844.25,367.325,413.3372,61.8,363.05,201.575,681.55,113.2
2016-01-03 12:00:00,0.0,,0.0,0.0,0.0,0.0,184.02,474.75,200.12,509.35,148.97,626.05,116.77,915.11,125.28,162.95,,776.7844,385.92,848.0,372.725,419.362,60.6,341.85,202.1,667.125,116.125
2016-01-03 13:00:00,0.0,,0.0,0.0,0.0,0.0,183.86,451.04,232.87,515.13,142.99,631.44,117.61,940.33,141.02,160.43,,793.5327,391.68,849.25,372.075,420.9495,53.6,349.75,208.475,672.45,128.1
2016-01-03 14:00:00,0.0,,0.0,0.0,0.0,0.0,183.61,479.71,216.06,510.51,138.76,629.56,122.15,935.0,165.03,160.34,,782.1613,397.44,848.75,374.575,418.9637,54.7,347.625,205.325,657.725,115.775
2016-01-03 15:00:00,0.0,,0.0,0.0,0.0,0.0,184.38,483.6,206.33,509.06,138.36,626.35,122.58,937.61,169.82,159.15,,772.9914,391.8685,851.75,372.225,418.4628,57.9,348.3,201.025,680.4,118.575
2016-01-03 16:00:00,0.0,,0.0,0.0,0.0,0.0,183.95,490.0,205.98,502.45,132.41,631.27,120.21,927.93,169.71,160.32,,779.9012,397.44,850.0,369.4,418.4958,63.5,353.3,213.45,678.05,114.75
2016-01-03 17:00:00,0.0,,0.0,0.0,0.0,0.0,183.51,508.01,178.24,498.0,135.01,639.57,121.88,923.76,165.08,164.0,,769.3452,397.44,852.5,370.6748,424.224,72.4,343.7,212.225,657.225,119.05
2016-01-03 18:00:00,0.0,,0.0,0.0,0.0,0.0,184.83,497.41,164.03,501.85,141.58,641.31,125.23,921.9,154.27,167.33,,757.6873,385.92,847.5,371.8253,422.4425,78.0,344.325,213.425,690.425,120.75
2016-01-03 19:00:00,0.0,,0.0,0.0,0.0,0.0,185.15,502.71,166.48,499.34,142.41,637.51,122.72,922.45,139.1,168.99,,747.8749,380.16,847.0,366.6003,416.055,81.2,363.225,205.65,661.4,125.85
2016-01-03 20:00:00,0.0,,0.0,0.0,0.0,0.0,186.29,489.85,163.73,496.9,143.49,636.65,101.56,928.27,117.99,168.45,,741.1684,385.92,844.75,368.3995,415.9993,81.4,328.8,204.175,679.975,124.675
2016-01-03 21:00:00,0.0,,0.0,0.0,0.0,0.0,183.73,486.16,167.8,490.25,140.6,637.12,91.0,911.69,117.58,165.53,,726.2836,351.36,839.0,373.1755,417.8875,83.7,333.75,212.425,671.75,123.175
2016-01-03 22:00:00,0.0,,0.0,0.0,0.0,0.0,180.96,468.8,161.89,484.56,146.24,637.65,91.91,926.93,104.82,159.83,,721.8807,351.36,841.25,371.0504,418.606,75.5,334.35,205.35,669.775,112.275
2016-01-03 23:00:00,0.0,,0.0,0.0,0.0,0.0,179.65,450.77,160.25,486.14,141.31,635.88,91.42,926.6,105.65,91.38,,725.4281,334.08,848.75,365.9259,377.8505,71.8,338.025,202.175,656.025,115.575
2016-01-04 00:00:00,0.0,,0.0,0.0,0.0,0.0,180.24,459.33,159.41,481.47,138.28,640.76,92.55,928.48,101.72,93.2,,722.8739,334.08,854.0,369.025,376.114,31.0369,333.475,205.65,652.025,112.45
2016-01-04 01:00:00,0.0,,0.0,0.0,0.0,0.0,180.53,490.65,159.85,476.1,141.62,636.42,91.08,929.81,78.04,96.3,,725.2959,339.84,845.75,374.725,376.2887,0.2739,323.55,195.9,657.875,113.175
2016-01-04 02:00:00,0.0,,0.0,0.0,0.0,0.0,180.21,456.37,175.01,474.73,141.3,636.39,91.47,904.38,76.79,95.66,,734.4627,328.32,851.25,367.85,342.0497,0.2739,381.35,198.15,643.2,112.05
2016-01-04 03:00:00,0.0,,0.0,0.0,0.0,0.0,182.07,438.76,180.96,475.18,154.05,631.94,89.99,924.91,76.24,96.4,,729.9021,328.32,843.25,370.3494,343.1222,0.2739,389.0,202.7,663.85,119.0
2016-01-04 04:00:00,0.0,,0.0,0.0,0.0,0.0,183.5,451.0,195.79,473.95,158.71,634.56,91.03,917.89,76.2,98.57,,723.8847,339.84,842.25,373.6995,343.1075,0.2739,386.75,198.875,656.925,116.25
2016-01-04 05:00:00,0.0,,0.0,0.0,0.0,0.0,185.36,478.8,204.59,475.19,159.53,634.79,91.04,921.69,90.05,119.79,,726.2554,351.36,849.75,367.8,343.082,0.2739,403.825,209.425,639.9,128.8
2016-01-04 06:00:00,0.0,,0.0,0.0,0.0,0.0,190.53,456.64,208.84,483.45,129.99,627.98,116.66,920.79,156.74,134.58,,733.8574,374.4,862.75,367.975,395.6732,0.2739,438.95,209.25,701.775,151.3
2016-01-04 07:00:00,0.0,,0.0,0.0,0.0,0.0,192.06,464.7,225.34,509.4,210.25,635.11,125.27,920.24,148.77,200.28,,742.1613,408.96,869.75,375.7991,411.3298,0.2739,453.1,214.25,702.925,179.375
2016-01-04 08:00:00,0.0,,0.0,0.0,0.0,0.0,191.29,511.5,259.93,529.46,268.33,649.51,130.28,920.28,182.25,223.9,,778.7949,403.2,880.5,379.7252,422.9008,0.2739,541.075,222.0,694.225,191.9
2016-01-04 09:00:00,0.0,,0.0,0.0,0.0,0.0,180.64,522.34,266.15,555.71,274.86,652.47,139.0,943.29,210.76,248.24,,834.4161,432.0,896.75,385.55,430.6153,0.2739,578.075,223.55,870.25,185.35
2016-01-04 10:00:00,0.0,,0.0,0.0,0.0,0.0,178.91,557.98,307.7,608.51,291.31,662.81,136.66,967.3,233.37,252.36,,864.0364,414.72,906.0,396.275,458.9508,0.2739,529.2,240.05,815.7,187.625
2016-01-04 11:00:00,0.0,,0.0,0.0,0.0,0.0,201.31,595.37,354.82,590.47,285.41,670.49,135.17,981.13,239.75,255.58,,893.1251,437.76,911.0,404.6497,462.38,0.2739,547.2,231.875,832.7,193.075
2016-01-04 12:00:00,0.0,,0.0,0.0,0.0,0.0,173.33,544.09,350.62,585.5,285.22,684.55,143.99,976.12,233.08,249.35,,888.65,443.52,921.5,404.7756,537.798,0.2739,565.925,212.15,824.9,175.6
2016-01-04 13:00:00,0.0,,0.0,0.0,0.0,0.0,173.93,549.46,353.28,582.56,280.6,684.8,144.56,981.15,229.42,244.04,,910.1863,426.24,916.75,406.9,507.8252,0.2739,552.2,215.75,857.725,174.425
2016-01-04 14:00:00,0.0,,0.0,0.0,0.0,0.0,178.43,569.64,355.06,592.95,279.8,680.63,140.53,987.28,218.46,242.74,,909.2671,443.52,915.25,407.175,487.3275,0.2739,522.3,219.25,856.55,176.825
2016-01-04 15:00:00,0.0,,0.0,0.0,0.0,0.0,178.86,570.56,343.43,590.11,275.01,686.96,141.77,986.78,215.41,240.26,,893.6449,414.72,915.0,408.45,482.7205,0.2739,545.0,215.725,823.2,182.175
2016-01-04 16:00:00,0.0,,0.0,0.0,0.0,0.0,170.26,608.17,316.4,572.9,277.6,681.95,137.23,969.51,210.56,229.97,,879.8984,426.24,926.5,403.825,468.0003,0.2739,497.925,221.25,802.075,155.575
2016-01-04 17:00:00,0.0,,0.0,0.0,0.0,0.0,165.41,583.75,297.92,558.97,269.68,673.33,131.15,969.01,195.79,222.65,,848.8938,414.72,915.75,399.425,463.3305,0.2739,444.0,214.3,828.375,152.025
2016-01-04 18:00:00,0.0,,0.0,0.0,0.0,0.0,167.46,539.8,262.27,528.64,236.96,671.25,121.55,968.66,159.33,218.62,,809.9896,408.96,904.5,391.65,448.5752,0.2739,383.975,210.5,808.5,136.675
2016-01-04 19:00:00,0.0,,0.0,0.0,0.0,0.0,167.64,497.41,241.35,508.2,214.48,668.59,123.17,954.24,147.49,214.93,,795.3661,397.44,881.75,390.875,440.1242,0.2739,366.375,201.775,813.8,133.125
2016-01-04 20:00:00,0.0,,0.0,0.0,0.0,0.0,167.35,481.41,197.69,494.17,218.39,670.07,97.12,934.39,134.82,210.56,,782.8767,391.68,866.75,385.925,434.9545,0.2739,387.675,194.625,794.125,130.55
2016-01-04 21:00:00,0.0,,0.0,0.0,0.0,0.0,168.98,471.31,183.01,478.23,222.52,671.53,86.94,954.47,122.75,191.43,,772.1483,374.4,868.75,386.675,436.6012,0.2739,377.4,205.35,808.15,138.55
2016-01-04 22:00:00,0.0,,0.0,0.0,0.0,0.0,172.5,455.88,175.73,474.05,216.23,661.59,84.15,954.22,95.07,177.93,,760.245,357.12,869.0,387.175,435.0385,0.2739,353.45,200.525,799.375,141.975
2016-01-04 23:00:00,0.0,,0.0,0.0,0.0,0.0,181.29,449.41,176.16,470.17,216.05,667.34,84.1,946.3,85.32,107.97,,763.5597,345.6,861.25,379.975,433.3077,0.2739,354.225,188.65,781.975,125.775
2016-01-05 00:00:00,0.0,,0.0,0.0,0.0,0.0,160.38,437.93,178.1,471.44,216.29,664.3,84.54,949.64,82.3,111.8,,758.5924,345.6,862.75,381.675,436.2932,0.2739,349.775,196.5,797.15,123.85
2016-01-05 01:00:00,0.0,,0.0,0.0,0.0,0.0,160.17,466.08,176.95,473.25,218.07,668.61,83.9,943.42,86.66,110.78,,756.6122,339.84,857.0,380.7501,434.626,0.2739,342.525,192.525,805.625,132.15
2016-01-05 02:00:00,0.0,,0.0,0.0,0.0,0.0,154.39,263.04,173.62,478.65,172.68,670.86,86.25,915.65,90.62,117.35,,748.7941,339.84,856.0,381.8998,390.3878,0.2739,398.5,182.125,788.45,138.65
2016-01-05 03:00:00,0.0,,0.0,0.0,0.0,0.0,162.05,384.83,171.2,478.16,174.46,664.37,82.65,931.8,86.56,115.76,,739.8873,334.08,855.75,379.95,386.8727,0.2739,402.225,188.225,774.075,120.975
2016-01-05 04:00:00,0.0,,0.0,0.0,0.0,0.0,161.77,487.49,186.79,489.3,170.36,663.88,83.01,928.93,84.7,119.58,,736.0192,334.08,856.5,384.4,387.2768,0.2739,403.125,178.9,767.9,125.8
2016-01-05 05:00:00,0.0,,0.0,0.0,0.0,0.0,165.34,452.6,229.68,496.19,171.55,663.31,82.5,933.47,100.7,126.34,,743.8182,368.64,860.5,383.8752,389.745,0.2739,420.2,189.5,771.2,134.25
2016-01-05 06:00:00,0.0,,0.0,0.0,0.0,0.0,169.83,449.82,255.24,502.26,180.53,665.55,105.09,922.19,114.69,138.17,,742.7231,391.68,875.75,377.05,419.3588,0.2739,318.125,189.325,817.0,181.375
2016-01-05 07:00:00,0.0,,0.0,0.0,0.0,0.0,171.16,456.37,256.21,513.05,197.46,676.86,112.75,933.11,126.76,186.06,,757.9565,426.24,878.0,383.7996,419.7912,0.2739,350.275,190.85,796.125,164.3
2016-01-05 08:00:00,0.0,,0.0,0.0,0.0,0.0,170.29,495.81,289.8,528.49,222.21,678.2,116.44,953.31,170.36,198.58,,801.6436,414.72,887.0,387.7755,431.2418,0.2739,453.625,204.85,805.225,205.85
2016-01-05 09:00:00,0.0,,0.0,0.0,0.0,0.0,171.83,531.56,317.48,567.09,230.14,682.61,135.66,966.78,205.06,240.52,,864.6619,420.48,906.5,393.4727,436.1135,0.2739,505.1,204.075,824.3,189.025
2016-01-05 10:00:00,0.0,,0.0,0.0,0.0,0.0,178.08,546.57,330.79,557.81,238.61,692.62,128.86,975.87,225.67,245.81,,877.8502,437.76,922.75,405.35,446.3565,0.2739,559.725,207.9,815.775,191.375
2016-01-05 11:00:00,0.0,,0.0,0.0,0.0,0.0,187.79,552.42,320.08,577.05,232.09,700.81,147.53,977.57,213.94,261.89,,904.5251,437.76,919.25,409.125,451.666,0.2739,541.075,219.65,817.775,201.85
2016-01-05 12:00:00,0.0,,0.0,0.0,0.0,0.0,203.46,538.76,303.02,568.38,235.88,708.72,136.47,976.48,220.02,252.76,,900.7334,443.52,920.5,410.55,454.161,0.2739,505.025,210.45,866.375,207.475
2016-01-05 13:00:00,0.0,,0.0,0.0,0.0,0.0,185.39,540.07,292.26,584.17,249.0,709.48,159.97,980.52,219.24,251.45,,895.2454,432.0,906.75,405.925,454.3177,0.2739,514.575,211.65,815.95,193.325
2016-01-05 14:00:00,0.0,,0.0,0.0,0.0,0.0,188.12,582.53,289.89,591.68,250.83,702.81,139.4,1002.34,200.83,244.43,,884.176,432.0,914.25,411.7255,449.6162,0.2739,557.1,219.375,842.65,188.275
2016-01-05 15:00:00,0.0,,0.0,0.0,0.0,0.0,210.02,572.89,278.76,594.35,255.98,706.32,143.35,986.75,194.92,243.92,,890.0361,426.24,919.25,409.5253,451.685,0.2739,536.2,228.425,867.35,187.1
2016-01-05 16:00:00,0.0,,0.0,0.0,0.0,0.0,204.74,546.96,285.84,595.33,256.17,695.38,131.19,990.58,181.15,238.36,,876.4854,420.48,921.0,402.575,447.0307,0.2739,495.35,215.925,835.775,159.9
