timestamp,Panther_office_Garth,Fox_office_Vicki,Fox_office_Joy,Cockatoo_office_Margaret,Cockatoo_office_Ada
2016-01-02 18:00:00,0.0,100.9,142.01,3.225,437.3
2016-01-02 19:00:00,0.0,97.76,138.92,3.275,410.8
2016-01-02 20:00:00,0.0,96.4,139.57,2.625,404.675
2016-01-02 21:00:00,0.0,92.25,140.22,2.625,389.225
2016-01-02 22:00:00,0.0,91.75,140.79,2.575,377.025
2016-01-02 23:00:00,0.0,91.36,136.29,2.85,371.45
2016-01-03 00:00:00,0.0,82.86,116.75,2.375,376.75
2016-01-03 01:00:00,0.0,80.45,114.45,2.85,384.325
2016-01-03 02:00:00,0.0,90.82,137.62,2.9,372.55
2016-01-03 03:00:00,0.0,90.63,137.94,2.375,373.425
2016-01-03 04:00:00,0.0,92.51,137.67,2.375,369.9
2016-01-03 05:00:00,0.0,91.41,137.67,2.575,372.25
2016-01-03 06:00:00,0.0,91.03,138.17,3.925,395.65
2016-01-03 07:00:00,0.0,94.75,132.2,3.9,422.4
2016-01-03 08:00:00,0.0,93.05,126.28,3.0,438.3
2016-01-03 09:00:00,0.0,92.06,137.43,3.425,434.95
2016-01-03 10:00:00,0.0,92.0,149.51,2.775,455.175
2016-01-03 11:00:00,0.0,91.18,146.06,3.125,459.55
2016-01-03 12:00:00,0.0,92.21,147.29,2.25,467.175
2016-01-03 13:00:00,0.0,98.63,147.01,2.825,468.8
2016-01-03 14:00:00,0.0,102.7,139.09,3.2,451.875
2016-01-03 15:00:00,0.0,99.81,137.87,3.2,447.075
2016-01-03 16:00:00,0.0,100.07,130.32,3.85,444.9
2016-01-03 17:00:00,0.0,97.09,130.85,3.85,452.25
2016-01-03 18:00:00,0.0,95.6,140.08,4.075,437.75
2016-01-03 19:00:00,0.0,94.72,135.65,2.775,440.65
2016-01-03 20:00:00,0.0,90.45,134.45,3.0,413.95
2016-01-03 21:00:00,0.0,89.42,136.87,3.0,390.85
2016-01-03 22:00:00,0.0,89.74,137.69,2.6,383.075
2016-01-03 23:00:00,0.0,89.96,137.27,2.65,363.075
2016-01-04 00:00:00,0.0,83.9,121.2,2.75,380.8
2016-01-04 01:00:00,0.0,79.13,113.66,2.725,379.425
2016-01-04 02:00:00,0.0,87.51,133.99,3.125,390.95
2016-01-04 03:00:00,0.0,89.28,137.47,2.5,391.125
2016-01-04 04:00:00,0.0,89.89,135.48,2.575,398.45
2016-01-04 05:00:00,0.0,94.14,136.62,4.5,397.975
2016-01-04 06:00:00,0.0,99.55,137.66,4.525,417.85
2016-01-04 07:00:00,0.0,110.08,147.68,6.325,442.675
2016-01-04 08:00:00,0.0,130.29,156.03,6.05,460.925
2016-01-04 09:00:00,0.0,139.83,159.15,5.725,467.3
2016-01-04 10:00:00,0.0,151.07,162.09,5.4,491.025
2016-01-04 11:00:00,0.0,154.58,165.46,5.375,481.65
2016-01-04 12:00:00,0.0,153.86,169.14,5.35,494.325
2016-01-04 13:00:00,0.0,156.87,164.98,4.975,500.225
2016-01-04 14:00:00,0.0,157.22,169.56,4.8,481.75
2016-01-04 15:00:00,0.0,154.43,169.38,5.375,482.35
2016-01-04 16:00:00,0.0,147.9,163.8,4.4,490.275
2016-01-04 17:00:00,0.0,134.85,161.71,4.425,479.075
2016-01-04 18:00:00,0.0,125.45,158.66,4.875,453.175
2016-01-04 19:00:00,0.0,115.31,154.55,3.2,439.7
2016-01-04 20:00:00,0.0,113.23,149.34,3.075,415.675
2016-01-04 21:00:00,0.0,109.55,146.84,3.575,407.2
2016-01-04 22:00:00,0.0,105.5,151.3,4.025,393.675
2016-01-04 23:00:00,0.0,103.38,153.55,3.1,382.15
2016-01-05 00:00:00,0.0,94.19,133.15,3.05,379.525
2016-01-05 01:00:00,0.0,92.15,127.57,3.075,376.675
2016-01-05 02:00:00,0.0,100.6,148.33,2.9,386.45
2016-01-05 03:00:00,0.0,98.85,147.82,3.2,384.1
2016-01-05 04:00:00,0.0,94.25,146.57,2.875,395.1
2016-01-05 05:00:00,0.0,98.14,146.18,5.6,371.975
2016-01-05 06:00:00,0.0,102.42,144.51,6.475,426.125
2016-01-05 07:00:00,0.0,119.25,148.98,5.35,443.4
2016-01-05 08:00:00,0.0,126.97,158.89,4.85,447.075
2016-01-05 09:00:00,0.0,141.95,164.42,4.525,489.325
2016-01-05 10:00:00,0.0,149.43,168.0,5.3,471.8
2016-01-05 11:00:00,0.0,153.23,170.83,4.775,464.675
2016-01-05 12:00:00,0.0,155.5,164.06,5.25,450.025
2016-01-05 13:00:00,0.0,158.51,166.2,5.0,461.75
2016-01-05 14:00:00,0.0,163.82,168.19,4.75,477.175
2016-01-05 15:00:00,0.0,154.76,172.49,5.525,479.55
2016-01-05 16:00:00,0.0,150.54,168.82,4.1,451.35
2016-01-05 17:00:00,0.0,138.72,158.19,4.85,460.975
2016-01-05 18:00:00,0.0,125.08,158.2,4.05,442.275
2016-01-05 19:00:00,0.0,118.16,153.61,4.1,447.25
2016-01-05 20:00:00,0.0,111.93,144.52,2.825,409.875
2016-01-05 21:00:00,0.0,112.21,144.79,3.4,387.8
2016-01-05 22:00:00,0.0,112.05,143.87,2.775,381.85
2016-01-05 23:00:00,0.0,101.96,148.15,2.75,363.725
2016-01-06 00:00:00,0.0,93.82,131.82,4.225,378.05
2016-01-06 01:00:00,0.0,92.81,127.89,3.75,376.075
2016-01-06 02:00:00,0.0,103.54,143.63,3.3,380.95
2016-01-06 03:00:00,0.0,95.5,143.33,2.95,382.25
2016-01-06 04:00:00,0.0,95.9,142.31,3.025,382.775
2016-01-06 05:00:00,0.0,95.9,139.9,5.0,407.675
2016-01-06 06:00:00,0.0,102.41,147.83,5.725,419.725
2016-01-06 07:00:00,0.0,113.17,155.6,5.675,390.8
2016-01-06 08:00:00,0.0,127.95,162.0,5.375,446.1
2016-01-06 09:00:00,0.0,137.92,171.76,4.55,465.975
2016-01-06 10:00:00,0.0,147.38,182.2,4.95,455.4
2016-01-06 11:00:00,0.0,154.55,177.46,5.1,458.025
2016-01-06 12:00:00,0.0,161.62,174.12,4.85,486.025
2016-01-06 13:00:00,0.0,158.71,169.61,4.6,473.375
2016-01-06 14:00:00,0.0,158.84,165.28,4.15,452.625
2016-01-06 15:00:00,0.0,161.13,162.56,4.875,469.55
2016-01-06 16:00:00,0.0,157.4,162.86,5.0,461.075
2016-01-06 17:00:00,0.0,142.84,155.81,4.5,458.8
2016-01-06 18:00:00,0.0,127.59,150.26,4.775,448.8
2016-01-06 19:00:00,0.0,119.26,143.74,4.225,439.675
2016-01-06 20:00:00,0.0,114.2,140.71,3.8,425.025
2016-01-06 21:00:00,0.0,111.76,141.08,3.075,406.575
2016-01-06 22:00:00,0.0,106.97,143.96,4.0,393.0
2016-01-06 23:00:00,0.0,102.27,143.91,4.2,397.7
2016-01-07 00:00:00,0.0,95.37,125.59,3.25,402.375
2016-01-07 01:00:00,0.0,87.98,115.54,3.225,406.875
2016-01-07 02:00:00,0.0,98.5,135.95,3.425,409.95
2016-01-07 03:00:00,0.0,96.05,139.1,3.6,398.975
2016-01-07 04:00:00,0.0,95.82,136.03,3.3,393.05
2016-01-07 05:00:00,0.0,99.93,140.77,4.95,401.3
2016-01-07 06:00:00,0.0,104.87,148.47,5.35,419.15
2016-01-07 07:00:00,0.0,111.62,151.23,4.775,444.075
2016-01-07 08:00:00,0.0,127.15,160.68,5.225,466.85
2016-01-07 09:00:00,0.0,137.25,167.52,4.45,479.875
2016-01-07 10:00:00,0.0,144.15,168.68,5.35,468.2
2016-01-07 11:00:00,0.0,146.81,169.76,5.075,451.475
2016-01-07 12:00:00,0.0,149.72,172.19,5.85,463.775
2016-01-07 13:00:00,0.0,145.52,171.91,4.575,473.95
2016-01-07 14:00:00,0.0,150.1,167.08,4.925,457.95
2016-01-07 15:00:00,0.0,150.98,161.97,5.1,470.4
2016-01-07 16:00:00,0.0,147.63,157.34,4.175,450.5
2016-01-07 17:00:00,0.0,132.84,152.38,4.525,468.775
2016-01-07 18:00:00,0.0,120.97,144.28,4.7,458.625
2016-01-07 19:00:00,0.0,104.66,142.75,3.5,468.2
2016-01-07 20:00:00,0.0,106.65,142.86,3.225,413.7
2016-01-07 21:00:00,0.0,109.08,141.2,3.5,426.475
2016-01-07 22:00:00,0.0,107.26,133.75,2.6,403.55
2016-01-07 23:00:00,0.0,107.98,138.83,3.7,404.425
2016-01-08 00:00:00,0.0,101.56,118.61,4.3,388.0
2016-01-08 01:00:00,0.0,100.97,115.41,3.075,389.175
2016-01-08 02:00:00,0.0,111.11,134.84,3.4,388.45
2016-01-08 03:00:00,0.0,102.01,140.23,2.825,381.0
2016-01-08 04:00:00,0.0,98.52,136.6,3.225,388.7
2016-01-08 05:00:00,0.0,103.12,136.81,4.75,410.825
2016-01-08 06:00:00,0.0,105.72,141.48,4.975,420.725
2016-01-08 07:00:00,0.0,119.33,155.11,5.875,446.4
2016-01-08 08:00:00,0.0,126.74,154.95,5.05,473.525
2016-01-08 09:00:00,0.0,131.78,158.89,4.975,479.925
2016-01-08 10:00:00,0.0,138.56,165.23,4.7,478.125
2016-01-08 11:00:00,0.0,142.57,168.8,5.4,463.65
2016-01-08 12:00:00,0.0,141.98,170.42,4.425,482.75
2016-01-08 13:00:00,0.0,142.06,172.68,4.175,463.75
2016-01-08 14:00:00,0.0,142.51,168.5,4.325,486.4
2016-01-08 15:00:00,0.0,146.26,164.57,4.4,484.425
2016-01-08 16:00:00,0.0,146.09,150.94,4.45,476.075
2016-01-08 17:00:00,0.0,134.71,150.95,5.475,464.925
2016-01-08 18:00:00,0.0,117.36,152.96,4.15,443.85
2016-01-08 19:00:00,0.0,109.98,144.77,3.225,435.925
2016-01-08 20:00:00,0.0,106.86,141.3,3.0,423.7
2016-01-08 21:00:00,0.0,106.36,141.83,2.45,421.0
2016-01-08 22:00:00,0.0,106.71,147.07,2.475,384.55
2016-01-08 23:00:00,0.0,103.95,146.3,2.9,380.925
2016-01-09 00:00:00,0.0,92.34,126.1,2.475,387.825
2016-01-09 01:00:00,0.0,91.5,123.38,2.875,381.25
2016-01-09 02:00:00,0.0,100.69,142.33,2.425,396.175
2016-01-09 03:00:00,0.0,101.57,144.48,2.45,378.0
2016-01-09 04:00:00,0.0,105.02,141.78,2.55,366.175
2016-01-09 05:00:00,0.0,121.29,142.24,2.825,387.525
2016-01-09 06:00:00,0.0,129.18,143.65,3.8,396.675
2016-01-09 07:00:00,0.0,127.65,141.26,3.75,439.2
2016-01-09 08:00:00,0.0,130.85,134.36,2.6,434.2
2016-01-09 09:00:00,0.0,133.15,121.29,3.3,424.25
2016-01-09 10:00:00,0.0,130.78,146.96,2.25,434.975
2016-01-09 11:00:00,0.0,120.51,149.34,2.875,446.275
2016-01-09 12:00:00,0.0,106.61,152.35,2.575,442.175
2016-01-09 13:00:00,0.0,107.04,153.79,3.625,436.6
2016-01-09 14:00:00,0.0,109.37,146.47,1.95,430.55
2016-01-09 15:00:00,0.0,102.65,141.3,2.55,436.925
2016-01-09 16:00:00,0.0,105.22,133.27,2.125,427.55
2016-01-09 17:00:00,0.0,104.23,130.29,4.425,445.675
2016-01-09 18:00:00,0.0,99.95,139.79,3.85,426.8
2016-01-09 19:00:00,0.0,95.56,140.74,3.15,417.25
2016-01-09 20:00:00,0.0,96.88,142.21,2.9,417.625
2016-01-09 21:00:00,0.0,96.94,135.03,2.625,428.75
2016-01-09 22:00:00,0.0,95.86,134.71,2.625,388.15
2016-01-09 23:00:00,0.0,99.02,136.64,2.3,391.625
2016-01-10 00:00:00,0.0,92.56,119.05,2.675,382.025
2016-01-10 01:00:00,0.0,96.24,118.72,2.25,389.1
2016-01-10 02:00:00,0.0,102.91,142.0,2.3,371.625
2016-01-10 03:00:00,0.0,122.54,141.26,2.225,378.075
2016-01-10 04:00:00,0.0,121.84,139.77,2.25,377.5
2016-01-10 05:00:00,0.0,125.33,144.23,3.325,373.1
2016-01-10 06:00:00,0.0,123.77,145.65,4.25,401.525
2016-01-10 07:00:00,0.0,123.11,142.5,3.45,413.975
2016-01-10 08:00:00,0.0,125.41,133.66,3.1,430.9
2016-01-10 09:00:00,0.0,119.99,129.35,3.075,456.9
2016-01-10 10:00:00,0.0,118.36,126.2,1.775,428.85
2016-01-10 11:00:00,0.0,117.55,129.36,1.75,446.775
2016-01-10 12:00:00,0.0,100.39,130.3,1.975,432.15
2016-01-10 13:00:00,0.0,91.58,131.82,2.875,436.0
2016-01-10 14:00:00,0.0,93.5,122.96,2.875,439.15
2016-01-10 15:00:00,0.0,92.25,127.58,2.1,450.4
2016-01-10 16:00:00,0.0,92.58,127.82,2.975,442.4
2016-01-10 17:00:00,0.0,92.61,124.13,3.725,435.25
2016-01-10 18:00:00,0.0,93.81,132.57,3.775,441.6
2016-01-10 19:00:00,0.0,94.76,133.9,3.45,439.65
2016-01-10 20:00:00,0.0,97.2,134.81,2.75,420.725
2016-01-10 21:00:00,0.0,94.44,136.34,2.05,414.375
2016-01-10 22:00:00,0.0,97.38,136.11,2.05,406.525
2016-01-10 23:00:00,0.0,97.73,136.36,2.875,408.15
2016-01-11 00:00:00,0.0,94.26,121.48,3.1,398.725
2016-01-11 01:00:00,0.0,98.78,120.31,3.1,381.95
2016-01-11 02:00:00,0.0,117.11,141.25,2.825,379.95
2016-01-11 03:00:00,0.0,123.64,140.46,2.6,389.85
2016-01-11 04:00:00,0.0,127.86,142.06,3.0,383.125
2016-01-11 05:00:00,0.0,125.63,147.97,4.5,412.225
2016-01-11 06:00:00,0.0,134.25,147.73,5.525,420.05
2016-01-11 07:00:00,0.0,144.06,160.27,5.325,442.575
2016-01-11 08:00:00,0.0,159.47,160.67,5.5,471.9
2016-01-11 09:00:00,0.0,161.03,171.49,5.3,498.3
2016-01-11 10:00:00,0.0,157.05,188.14,4.975,515.875
2016-01-11 11:00:00,0.0,147.16,192.61,5.375,472.6
2016-01-11 12:00:00,0.0,151.5,193.87,4.8,493.125
2016-01-11 13:00:00,0.0,150.62,184.07,5.35,508.775
2016-01-11 14:00:00,0.0,160.48,175.55,4.825,477.475
2016-01-11 15:00:00,0.0,171.32,172.11,4.975,491.375
2016-01-11 16:00:00,0.0,171.26,170.13,5.3,464.7
2016-01-11 17:00:00,0.0,151.41,157.3,4.775,489.8
2016-01-11 18:00:00,0.0,127.51,148.77,5.15,449.925
2016-01-11 19:00:00,0.0,111.94,146.45,3.45,445.7
2016-01-11 20:00:00,0.0,110.69,141.06,3.75,421.3
2016-01-11 21:00:00,0.0,108.34,137.21,2.9,413.95
2016-01-11 22:00:00,0.0,107.15,140.36,3.125,396.825
2016-01-11 23:00:00,0.0,102.12,139.91,2.625,397.125
2016-01-12 00:00:00,0.0,96.84,120.2,2.725,379.35
2016-01-12 01:00:00,0.0,99.81,119.45,3.025,399.575
2016-01-12 02:00:00,0.0,104.18,137.74,3.025,384.25
2016-01-12 03:00:00,0.0,108.7,138.42,2.775,382.725
2016-01-12 04:00:00,0.0,125.0,139.26,3.525,381.975
2016-01-12 05:00:00,0.0,127.7,147.76,3.5,409.7
2016-01-12 06:00:00,0.0,133.76,151.83,5.075,441.25
2016-01-12 07:00:00,0.0,147.88,159.65,4.925,455.525
2016-01-12 08:00:00,0.0,152.19,164.63,5.8,461.7
2016-01-12 09:00:00,0.0,159.46,170.0,5.475,478.6
2016-01-12 10:00:00,0.0,152.92,184.22,5.1,487.275
2016-01-12 11:00:00,0.0,146.12,191.07,4.8,513.475
2016-01-12 12:00:00,0.0,156.29,192.73,5.0,498.775
2016-01-12 13:00:00,0.0,156.01,182.62,4.4,465.1
2016-01-12 14:00:00,0.0,165.82,182.45,5.2,497.8
2016-01-12 15:00:00,0.0,172.32,181.42,4.75,489.775
2016-01-12 16:00:00,0.0,171.82,174.7,4.025,489.45
2016-01-12 17:00:00,0.0,158.12,161.12,5.325,495.7
2016-01-12 18:00:00,0.0,137.43,156.2,4.65,461.475
2016-01-12 19:00:00,0.0,122.4,155.98,3.925,432.3
2016-01-12 20:00:00,0.0,115.53,157.72,3.7,409.375
2016-01-12 21:00:00,0.0,111.94,158.2,2.75,402.3
2016-01-12 22:00:00,0.0,107.5,157.1,2.9,413.1
2016-01-12 23:00:00,0.0,102.52,147.62,2.925,386.525
2016-01-13 00:00:00,0.0,97.41,123.64,2.825,394.15
2016-01-13 01:00:00,0.0,100.2,121.05,2.725,388.35
2016-01-13 02:00:00,0.0,105.9,143.97,3.225,394.425
2016-01-13 03:00:00,0.0,97.14,142.61,2.625,383.025
2016-01-13 04:00:00,0.0,98.68,141.92,3.725,394.125
2016-01-13 05:00:00,0.0,102.57,146.49,3.65,409.525
2016-01-13 06:00:00,0.0,125.78,149.4,4.7,440.85
2016-01-13 07:00:00,0.0,136.19,153.51,6.1,451.5
2016-01-13 08:00:00,0.0,152.88,158.49,5.475,474.75
2016-01-13 09:00:00,0.0,144.95,164.86,5.45,498.575
2016-01-13 10:00:00,0.0,143.34,182.22,5.325,486.5
2016-01-13 11:00:00,0.0,148.1,187.43,5.175,518.65
2016-01-13 12:00:00,0.0,153.98,188.53,5.15,508.225
2016-01-13 13:00:00,0.0,165.3,184.75,4.6,488.3
2016-01-13 14:00:00,0.0,171.59,185.59,4.425,498.5
2016-01-13 15:00:00,0.0,175.72,189.9,4.8,496.25
2016-01-13 16:00:00,0.0,172.99,176.96,5.5,498.85
2016-01-13 17:00:00,0.0,163.24,163.74,5.2,484.325
2016-01-13 18:00:00,0.0,135.99,159.02,4.45,454.75
2016-01-13 19:00:00,0.0,124.64,152.95,2.95,432.85
2016-01-13 20:00:00,0.0,117.1,153.08,3.25,428.35
2016-01-13 21:00:00,0.0,119.73,156.87,4.125,431.575
2016-01-13 22:00:00,0.0,112.6,155.37,2.85,417.2
2016-01-13 23:00:00,0.0,108.84,158.26,2.7,397.8
2016-01-14 00:00:00,0.0,99.67,137.89,3.075,408.95
2016-01-14 01:00:00,0.0,98.71,133.07,2.65,395.4
2016-01-14 02:00:00,0.0,107.84,156.3,2.7,396.25
2016-01-14 03:00:00,0.0,105.32,146.09,2.85,386.55
2016-01-14 04:00:00,0.0,102.13,145.21,3.075,395.325
2016-01-14 05:00:00,0.0,103.6,144.22,4.75,404.3
2016-01-14 06:00:00,0.0,110.71,148.96,5.125,429.55
2016-01-14 07:00:00,0.0,120.35,155.26,5.525,454.725
2016-01-14 08:00:00,0.0,130.24,162.12,6.65,484.025
2016-01-14 09:00:00,0.0,141.82,178.88,5.5,480.55
2016-01-14 10:00:00,0.0,146.61,193.08,5.3,494.65
2016-01-14 11:00:00,0.0,149.09,196.26,5.775,502.875
2016-01-14 12:00:00,0.0,154.97,194.88,5.625,501.15
2016-01-14 13:00:00,0.0,165.69,193.52,4.95,507.875
2016-01-14 14:00:00,0.0,172.16,187.62,5.2,486.225
2016-01-14 15:00:00,0.0,170.14,181.24,5.625,503.1
2016-01-14 16:00:00,0.0,160.9,176.21,4.65,499.85
2016-01-14 17:00:00,0.0,150.55,167.76,4.625,466.15
2016-01-14 18:00:00,0.0,131.25,163.31,4.25,470.225
2016-01-14 19:00:00,0.0,121.02,157.36,3.925,445.8
2016-01-14 20:00:00,0.0,118.94,158.84,3.525,405.6
2016-01-14 21:00:00,0.0,116.06,159.06,4.625,422.525
2016-01-14 22:00:00,0.0,108.38,160.21,3.375,395.65
2016-01-14 23:00:00,0.0,103.88,157.86,3.0,411.675
2016-01-15 00:00:00,0.0,96.45,130.65,2.875,392.45
2016-01-15 01:00:00,0.0,92.81,123.48,3.8,396.125
2016-01-15 02:00:00,0.0,101.45,145.47,4.9,382.6
2016-01-15 03:00:00,0.0,96.95,144.09,2.7,379.125
2016-01-15 04:00:00,0.0,99.08,141.78,3.45,406.575
2016-01-15 05:00:00,0.0,103.71,141.68,5.15,392.925
2016-01-15 06:00:00,0.0,109.63,146.22,4.725,433.1
2016-01-15 07:00:00,0.0,131.09,154.4,5.725,468.925
2016-01-15 08:00:00,0.0,143.54,158.48,5.125,473.875
2016-01-15 09:00:00,0.0,137.97,162.16,4.8,474.3
2016-01-15 10:00:00,0.0,141.51,169.54,4.55,487.625
2016-01-15 11:00:00,0.0,143.72,176.11,4.7,504.975
2016-01-15 12:00:00,0.0,142.47,185.98,5.65,479.825
2016-01-15 13:00:00,0.0,144.33,179.41,4.75,489.525
2016-01-15 14:00:00,0.0,147.66,178.85,4.35,484.85
2016-01-15 15:00:00,0.0,144.38,176.12,4.7,485.8
2016-01-15 16:00:00,0.0,146.67,170.91,3.975,500.525
2016-01-15 17:00:00,0.0,136.75,159.12,3.925,471.675
2016-01-15 18:00:00,0.0,120.92,158.7,3.975,462.8
2016-01-15 19:00:00,0.0,111.28,156.58,3.225,459.975
2016-01-15 20:00:00,0.0,108.22,154.32,4.6,407.9
2016-01-15 21:00:00,0.0,106.04,152.69,3.85,418.5
2016-01-15 22:00:00,0.0,105.72,151.43,4.3,410.45
2016-01-15 23:00:00,0.0,104.59,147.2,4.45,387.95
2016-01-16 00:00:00,0.0,96.92,122.08,4.275,394.6
2016-01-16 01:00:00,0.0,96.74,120.14,3.1,376.7
2016-01-16 02:00:00,0.0,98.45,139.84,2.8,389.725
2016-01-16 03:00:00,0.0,99.61,139.62,3.325,381.675
2016-01-16 04:00:00,0.0,100.4,139.19,4.15,397.9
2016-01-16 05:00:00,0.0,104.55,140.71,4.6,400.9
2016-01-16 06:00:00,0.0,126.72,143.67,3.625,430.15
2016-01-16 07:00:00,0.0,126.72,146.5,2.775,446.9
2016-01-16 08:00:00,0.0,123.05,136.46,3.05,464.875
2016-01-16 09:00:00,0.0,126.96,142.92,3.275,457.375
2016-01-16 10:00:00,0.0,122.45,148.72,2.85,468.025
2016-01-16 11:00:00,0.0,107.82,151.52,2.7,463.225
2016-01-16 12:00:00,0.0,98.82,149.95,2.1,442.75
2016-01-16 13:00:00,0.0,101.2,147.14,2.2,467.3
2016-01-16 14:00:00,0.0,101.75,144.06,2.4,455.95
2016-01-16 15:00:00,0.0,96.73,139.18,2.25,492.9
2016-01-16 16:00:00,0.0,94.61,133.17,2.375,465.775
2016-01-16 17:00:00,0.0,91.43,132.25,2.75,480.7
2016-01-16 18:00:00,0.0,94.11,143.23,4.65,475.5
2016-01-16 19:00:00,0.0,93.79,141.84,2.875,448.225
2016-01-16 20:00:00,0.0,94.26,141.32,2.725,439.5
2016-01-16 21:00:00,0.0,95.3,141.53,2.775,401.775
2016-01-16 22:00:00,0.0,94.13,141.18,3.075,401.2
2016-01-16 23:00:00,0.0,95.31,139.47,3.025,398.725
2016-01-17 00:00:00,0.0,86.84,118.65,2.9,405.7
2016-01-17 01:00:00,0.0,86.45,114.66,2.75,401.125
2016-01-17 02:00:00,0.0,97.13,136.13,2.8,394.3
2016-01-17 03:00:00,0.0,100.5,137.3,2.725,392.7
2016-01-17 04:00:00,0.0,98.53,137.65,3.525,405.325
2016-01-17 05:00:00,0.0,99.17,140.84,3.875,392.1
2016-01-17 06:00:00,0.0,104.66,135.66,3.65,430.375
2016-01-17 07:00:00,0.0,114.49,133.89,4.8,467.975
2016-01-17 08:00:00,0.0,121.06,130.64,3.55,479.225
2016-01-17 09:00:00,0.0,119.53,138.89,3.875,505.65
2016-01-17 10:00:00,0.0,108.31,151.74,3.125,477.0
2016-01-17 11:00:00,0.0,100.36,157.01,2.4,467.475
2016-01-17 12:00:00,0.0,95.62,152.41,2.375,483.0
2016-01-17 13:00:00,0.0,96.24,149.79,2.175,493.225
2016-01-17 14:00:00,0.0,100.29,145.54,2.1,473.5
2016-01-17 15:00:00,0.0,110.23,142.97,3.175,460.6
2016-01-17 16:00:00,0.0,115.63,137.76,2.825,474.075
2016-01-17 17:00:00,0.0,108.0,133.45,3.1,461.05
2016-01-17 18:00:00,0.0,105.86,140.5,4.425,435.05
2016-01-17 19:00:00,0.0,102.01,141.52,4.1,439.875
2016-01-17 20:00:00,0.0,103.36,140.98,3.675,428.7
2016-01-17 21:00:00,0.0,98.01,139.87,3.275,417.725
2016-01-17 22:00:00,0.0,99.53,135.6,3.15,401.8
2016-01-17 23:00:00,0.0,95.39,132.38,2.725,404.8
2016-01-18 00:00:00,0.0,89.13,116.48,2.625,385.1
2016-01-18 01:00:00,0.0,89.6,115.37,2.775,397.65
2016-01-18 02:00:00,0.0,95.75,134.86,3.35,406.95
2016-01-18 03:00:00,0.0,99.0,134.06,2.725,403.025
2016-01-18 04:00:00,0.0,101.13,138.06,3.75,401.45
2016-01-18 05:00:00,0.0,102.36,135.93,4.725,388.025
2016-01-18 06:00:00,0.0,104.13,145.84,4.175,444.15
2016-01-18 07:00:00,0.0,106.21,157.47,4.55,457.45
2016-01-18 08:00:00,0.0,106.96,150.49,3.9,438.125
2016-01-18 09:00:00,0.0,104.17,147.05,4.6,483.025
2016-01-18 10:00:00,0.0,103.23,157.03,4.35,489.775
2016-01-18 11:00:00,0.0,103.33,169.25,3.85,477.225
